name,type,class,power,max_pp,acc_1,acc_2,critical_hit_chance,damage_flags,other_flags,targets
Counter,Fighting,Physical,2,17,100,125,12,(#4),#122,User
Covet,Normal,Status,8,27,88,125,12,(#4) (#5) (#6),#120,Foe in front
Crabhammer,Water,Special,18,12,88,125,50,(#4) (#5) (#6),#11,Foe in front
Cross Chop,Fighting,Physical,20,10,84,125,50,(#4) (#5) (#6),#11,Foe in front
Crunch,Dark,Special,16,13,88,125,12,(#3) (#4) (#5) (#6),#40,Foe in front
Crush Claw,Normal,Physical,14,15,90,125,12,(#4) (#5) (#6),#31,Foe in front
Curse,Normal,Status,2,17,125,100,12,(#4),#127,Special
Cut,Normal,Physical,10,10,84,125,12,(#4) (#5) (#6),#0,All within one tile
Decoy Maker,Typeless,Status,2,22,100,100,0,(#4),#190,Foe in front
Defense Curl,Normal,Status,2,27,125,125,12,(#2) (#4),#78,User
Destiny Bond,Ghost,Status,2,12,125,100,12,(#4),#214,"Foe in front, cuts corners"
Detect,Fighting,Status,2,12,100,75,12,(#4),#192,User
Dig,Ground,Physical,12,12,100,125,12,(#4) (#5) (#6),#178,User
Disable,Normal,Status,2,9,78,100,12,(#4),#46,Foe in front
Dive,Water,Special,12,12,100,125,12,(#4) (#5) (#6),#177,User
Dizzy Punch,Normal,Physical,6,17,90,125,12,(#4) (#5) (#6),#41,Foe in front
Doom Desire,Steel,Physical,24,11,88,125,12,(#4),#188,User
Double Kick,Fighting,Physical,6,14,87,100,3,(#4) (#5) (#6),#0,Foe in front
Double Team,Normal,Status,2,17,125,125,12,(#2) (#4),#180,User
Double-Edge,Normal,Physical,15,17,88,125,12,(#4) (#5) (#6),#91,Foe in front
DoubleSlap,Normal,Physical,4,17,70,125,2,(#4) (#5) (#6),#0,Foe in front
Dragon Claw,Dragon,Special,16,10,88,125,12,(#4) (#5) (#6),#0,Foe in front
Dragon Dance,Dragon,Status,2,22,125,125,12,(#2) (#4),#70,User
Dragon Rage,Dragon,Special,10,17,100,100,12,(#4) (#5),#49,"Foe in front, cuts corners"
Dragonbreath,Dragon,Special,12,12,88,125,12,(#3) (#4) (#5) (#6),#35,Line of sight
Dream Eater,Psychic,Status,20,13,100,125,12,(#3) (#4) (#5) (#6),#165,Foe in front
Drill Peck,Flying,Physical,16,13,88,125,12,(#4) (#5) (#6),#0,Foe in front
Drought,Typeless,Status,2,22,100,125,0,(#4),#169,Floor
Dynamicpunch,Fighting,Physical,10,13,78,125,12,(#4) (#5) (#6),#64,Foe in front
Earthquake,Ground,Physical,5,10,65,100,12,(#4) (#5) (#6),#3,All in room
Egg Bomb,Normal,Physical,10,15,78,125,12,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Ember,Fire,Special,7,18,90,125,12,(#5) (#6),#7,"Foe in front, cuts corners"
Encore,Normal,Status,2,12,100,100,12,(#4),#215,Foe in front
Endeavor,Normal,Status,2,12,100,100,12,(#4) (#5),#163,Foe in front
Endure,Normal,Status,2,17,100,75,12,(#4),#220,User
Eruption,Fire,Special,30,10,84,125,12,(#5) (#6),#202,Foe in front
Escape,Typeless,Status,2,1,100,125,0,(#4),#240,Special
Excavate,Typeless,Status,2,99,100,125,0,(#4) (#5) (#6),#227,User
Explosion,Normal,Physical,50,12,100,125,12,(#4) (#5),#197,All within 2 tiles
Extrasensory,Psychic,Special,16,12,88,125,12,(#4) (#5) (#6),#36,Foe in front
ExtremeSpeed,Normal,Physical,16,12,88,125,12,(#4) (#5) (#6),#0,Foe 1-2 tiles ahead
Facade,Normal,Physical,14,12,84,125,12,(#4) (#5) (#6),#199,Foe in front
Faint Attack,Dark,Special,6,8,125,125,12,(#4) (#5) (#6),#0,Foe in front
Fake Out,Normal,Physical,8,17,88,125,12,(#4) (#5) (#6),#47,Foe 1-2 tiles ahead
Fake Tears,Dark,Status,2,22,100,100,12,(#1) (#3) (#4),#65,Foe in front
False Swipe,Normal,Physical,40,15,100,100,12,(#4) (#5),#161,Foe in front
Famish,Typeless,Status,2,22,100,100,0,(#4),#223,Foes in room
Featherdance,Flying,Status,2,22,100,100,12,(#1) (#4),#87,Foe in front
Fill-In,Typeless,Status,2,99,100,125,0,(#4),#167,Floor
Fire Blast,Fire,Special,24,9,88,100,12,(#5) (#6),#7,"Foe in front, cuts corners"
Fire Punch,Fire,Special,14,13,100,125,12,(#5) (#6),#7,Foe in front
Fire Spin,Fire,Special,4,19,73,125,12,(#5) (#6),#15,Foe in front
Fissure,Ground,Physical,2,14,100,35,12,(#4) (#5),#12,Foe in front
Flail,Normal,Physical,2,17,100,100,12,(#4) (#5) (#6),#195,Foe in front
Flame Wheel,Fire,Special,12,11,88,125,12,(#5) (#6),#6,"Foe in front, cuts corners"
Flamethrower,Fire,Special,18,12,88,125,12,(#5) (#6),#7,Line of sight
Flash,Normal,Status,2,22,84,100,12,(#1) (#4),#155,Foe in front
Flatter,Dark,Status,2,17,100,100,12,(#1) (#3) (#4),#153,Foe in front
Fly,Flying,Physical,14,12,100,125,12,(#4) (#5) (#6),#175,User
Focus Energy,Normal,Status,2,27,125,125,12,(#2) (#4),#10,User
Focus Punch,Fighting,Physical,20,10,100,125,12,(#4) (#5) (#6),#132,Foe in front
Follow Me,Normal,Status,2,15,100,125,12,(#4),#190,User
Foresight,Normal,Status,2,22,100,100,12,(#4),#231,Foe in front
Frenzy Plant,Grass,Special,30,10,84,125,12,(#4) (#5) (#6),#9,"Foe in front, cuts corners"
Frustration,Normal,Physical,2,20,100,100,12,(#4) (#5),#253,Foe in front
Fury Attack,Normal,Physical,1,22,70,125,1,(#4) (#5) (#6),#0,Foe in front
Fury Cutter,Bug,Physical,2,14,87,125,12,(#4) (#5) (#6),#0,Foe in front
Fury Swipes,Normal,Physical,4,19,78,125,1,(#4) (#5) (#6),#0,Foe in front
Future Sight,Psychic,Special,16,13,90,125,12,(#4),#188,User
Giga Drain,Grass,Special,12,10,88,125,12,(#4) (#5) (#6),#90,Foe in front
Glare,Normal,Status,2,22,78,100,12,(#1) (#4),#60,Foe in front
Grasswhistle,Grass,Status,2,13,90,100,12,(#1) (#3) (#4),#52,"Foe in front, cuts corners"
Growl,Normal,Status,2,20,100,100,12,(#1) (#3) (#4),#86,Foes in room
Growth,Normal,Status,2,22,125,125,12,(#2) (#4),#76,User
Grudge,Ghost,Status,2,12,100,125,12,(#4),#185,User
Guillotine,Normal,Physical,2,12,100,35,12,(#4) (#5),#13,Foe in front
Gust,Flying,Physical,4,19,88,125,12,(#4) (#5) (#6),#4,Foe in front
Hail,Ice,Status,2,13,125,125,12,(#4),#229,Floor
Harden,Normal,Status,2,22,125,125,12,(#2) (#4),#172,User
Haze,Ice,Status,2,13,125,125,12,(#4),#146,All in room
Headbutt,Normal,Physical,6,17,90,125,12,(#4) (#5) (#6),#38,Foe in front
Heal Bell,Normal,Status,2,12,125,125,12,(#2),#145,Allies in room
Heat Wave,Fire,Special,10,15,90,125,12,(#5) (#6),#7,Foes in room
Helping Hand,Normal,Status,2,17,100,125,12,(#4),#221,Allies in room
Hi Jump Kick,Fighting,Physical,16,11,90,125,12,(#4) (#5) (#6),#128,Foe in front
Hidden Power,Typeless,Physical,2,12,88,125,12,(#4) (#5) (#6),#130,Foe in front
Horn Attack,Normal,Physical,8,18,95,125,12,(#4) (#5) (#6),#0,Foe in front
Horn Drill,Normal,Physical,2,12,100,35,12,(#4) (#5),#56,Foe in front
Howl,Normal,Status,2,27,125,125,12,(#2) (#3) (#4),#72,User
HP Gauge,Typeless,Status,2,32,100,125,0,(#4),#259,Pokémon on floor
Hurl,Typeless,Status,2,22,100,100,0,(#4) (#5) (#6),#265,Foe in front
Hydro Cannon,Water,Special,30,9,84,125,12,(#4) (#5) (#6),#9,Line of sight
Hydro Pump,Water,Special,24,9,84,125,12,(#4) (#5) (#6),#0,Line of sight
Hyper Beam,Normal,Physical,30,8,90,100,12,(#4) (#5) (#6),#9,Line of sight
Hyper Fang,Normal,Physical,16,13,88,125,12,(#3) (#4) (#5) (#6),#36,Foe in front
Hyper Voice,Normal,Physical,18,12,90,125,12,(#3) (#4) (#5) (#6),#0,"Foe in front, cuts corners"
Hypnosis,Psychic,Status,2,17,60,100,12,(#1) (#4),#52,"Foe in front, cuts corners"
Ice Ball,Ice,Special,1,15,68,125,2,(#4) (#5) (#6),#110,"Foe in front, cuts corners"
Ice Beam,Ice,Special,15,8,88,125,12,(#4) (#5) (#6),#8,Line of sight
Ice Punch,Ice,Special,14,12,88,125,12,(#4) (#5) (#6),#8,Foe in front
Icicle Spear,Ice,Special,2,22,70,125,2,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Icy Wind,Ice,Special,5,13,84,125,12,(#4) (#5) (#6),#63,Line of sight
Imprison,Psychic,Status,2,15,100,100,12,(#4),#237,Foe in front
Ingrain,Grass,Status,2,22,100,125,12,(#2) (#4),#141,User
Invisify,Typeless,Status,2,12,100,125,0,(#4),#210,User
Iron Defense,Steel,Status,2,17,125,125,12,(#2) (#4),#79,User
Iron Tail,Steel,Physical,20,10,78,125,12,(#4) (#5) (#6),#138,Foe in front
Itemize,Typeless,Status,2,17,45,125,0,(#4),#243,"Foe in front, cuts corners"
Jump Kick,Fighting,Physical,14,13,95,125,12,(#4) (#5) (#6),#191,Foe in front
Karate Chop,Fighting,Physical,10,18,90,125,12,(#4) (#5) (#6),#11,Foe in front
Kinesis,Psycchic,Status,2,17,84,100,12,(#4),#155,Foe in front
Knock Off,Dark,Special,4,22,100,100,12,(#4),#181,Foe in front
Leaf Blade,Grass,Special,14,12,88,125,50,(#4) (#5) (#6),#11,Foe in front
Leech Life,Bug,Physical,4,19,90,125,12,(#3) (#4) (#5) (#6),#90,Foe in front
Leech Seed,Grass,Status,2,17,90,100,12,(#1) (#4),#143,"Foe in front, cuts corners"
Leer,Normal,Status,2,27,100,100,12,(#1) (#4),#139,Foe in front
Lick,Ghost,Physical,4,22,100,100,12,(#3) (#4) (#5) (#6),#35,Foe in front
Light Screen,Psychic,Status,2,14,125,125,12,(#2) (#4),#109,User
Lock-On,Normal,Status,2,12,100,125,12,(#4),#173,User
Long Toss,Typeless,Status,2,22,100,125,0,(#4),#183,User
Lovely Kiss,Normal,Status,0,13,78,100,12,(#1) (#3) (#4),#52,Adjacent foes
Low Kick,Fighting,Physical,7,22,90,125,12,(#4) (#5) (#6),#200,Foe in front
Luster Purge,Psychic,Special,14,12,88,125,12,(#4) (#5) (#6),#30,Foe in front
Mach Punch,Fighting,Physical,8,22,90,125,12,(#4) (#5) (#6),#0,Foe 1-2 tiles ahead
Magic Coat,Psychic,Status,2,19,100,125,12,(#4),#133,User
Magical Leaf,Grass,Special,12,8,125,125,12,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Magnitude,Ground,Physical,2,15,100,100,12,(#4) (#5),#150,All in room except user
Mean Look,Normal,Status,2,12,100,100,12,(#1) (#4),#18,"Foe in front, cuts corners"
Meditate,Psychic,Status,2,22,125,125,12,(#2) (#4),#72,User
Mega Drain,Grass,Special,8,17,88,125,12,(#4) (#5) (#6),#90,Foe in front
Mega Kick,Normal,Physical,16,12,84,125,12,(#4) (#5) (#6),#0,Foe in front
Mega Punch,Normal,Physical,16,12,88,125,12,(#4) (#5) (#6),#0,Foe in front
Megahorn,Bug,Physical,24,10,84,125,12,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Memento,Dark,Status,2,15,100,100,12,(#4),#111,Foes in room
Metal Claw,Steel,Physical,10,15,90,125,12,(#4) (#5) (#6),#22,Foe in front
Metal Sound,Steel,Status,2,17,88,100,12,(#1) (#4),#158,Foe in front
Meteor Mash,Steel,Physical,20,9,88,100,12,(#4) (#5) (#6),#43,Line of sight
Metronome,Normal,Status,2,22,125,100,12,(#4) (#5),#258,Special
Milk Drink,Normal,Status,2,15,125,125,12,(#2) (#3) (#4),#112,Allies on floor
Mimic,Normal,Status,2,17,100,100,12,(#4),#263,Foe in front
Mind Reader,Normal,Status,2,12,100,125,12,(#4),#173,User
Minimize,Normal,Status,2,27,125,125,12,(#2) (#4),#69,User
Mirror Coat,Psychic,Status,2,15,100,125,12,(#4),#211,User
Mirror Move,Flying,Physical,2,7,125,125,12,(#4),#245,User
Mist,Ice,Status,2,19,125,125,12,(#2) (#4),#108,User
Mist Ball,Psychic,Special,14,10,88,125,12,(#4) (#5) (#6),#29,"Foe in front, cuts corners"
Mobile,Typeless,Status,2,17,100,125,0,(#4),#230,User
Moonlight,Normal,Status,2,12,125,125,12,(#2) (#4),#114,Allies on floor
Morning Sun,Normal,Status,4,12,125,125,12,(#2) (#4),#135,Allies on floor
Mud Shot,Ground,Physical,12,13,65,125,12,(#4) (#5) (#6),#63,"Foe in front, cuts corners"
Mud Sport,Ground,Status,2,17,100,125,12,(#4),#137,Floor
Muddy Water,Water,Special,18,10,84,125,12,(#4) (#5) (#6),#81,Foe in front
Mud-Slap,Ground,Physical,4,16,84,125,12,(#4) (#5) (#6),#154,"Foe in front, cuts corners"
Nature Power,Normal,Physical,2,27,125,125,12,(#4) (#5),#242,Special
Needle Arm,Grass,Special,12,11,88,125,12,(#4) (#5) (#6),#37,Foe in front
Night Shade,Ghost,Physical,2,17,100,100,12,(#4) (#5),#89,Adjacent foes
Nightmare,Ghost,Status,4,15,100,100,12,(#4),#134,Foe in front
No-Move,Typeless,Status,2,22,100,100,0,(#4),#257,Foe in front
Observer,Typeless,Status,2,22,100,100,0,(#4),#237,"Foe in front, cuts corners"
Octazooka,Water,Special,8,15,88,125,12,(#3) (#4) (#5) (#6),#82,Line of sight
Odor Sleuth,Normal,Status,2,22,100,100,12,(#4),#231,Foes in room
One-Room,Typeless,Status,2,22,100,125,0,(#4),#219,Floor
One-Shot,Typeless,Status,200,3,100,35,0,(#4) (#5) (#6),#14,Foe in front
Outrage,Dragon,Special,18,9,78,125,12,(#4) (#5) (#6),#100,Foe in front
Overheat,Fire,Special,20,10,84,125,12,(#5) (#6),#156,Adjacent foes
Pain Split,Normal,Status,2,22,100,100,12,(#4),#67,Foe in front
Pay Day,Normal,Physical,8,22,90,125,12,(#4) (#5) (#6),#218,Foe in front
Peck,Flying,Physical,4,22,95,125,12,(#4) (#5) (#6),#0,Foe in front
Perish Song,Normal,Status,2,15,125,25,12,(#3) (#4),#212,User
Petal Dance,Grass,Special,7,17,87,125,12,(#4) (#5) (#6),#100,Foe in front
Petrify,Typeless,Status,2,22,100,100,0,(#4),#186,Foe in front
Pierce,Typeless,Status,2,22,100,125,0,(#4),#184,User
Pin Missile,Bug,Physical,4,17,78,125,1,(#4) (#5) (#6),#0,Line of sight
Poison Fang,Poison,Physical,10,15,88,125,12,(#4) (#5) (#6),#103,Foe in front
Poison Gas,Poison,Status,2,27,84,100,12,(#1) (#4),#58,Foe in front
Poison Sting,Poison,Physical,3,19,73,125,12,(#4) (#5) (#6),#19,"Foe in front, cuts corners"
Poison Tail,Poison,Physical,10,17,88,125,50,(#4) (#5) (#6),#24,Foe in front
Poisonpowder,Poison,Status,2,22,84,100,12,(#1) (#4),#58,Foe in front
Pounce,Typeless,Status,2,22,100,125,0,(#4),#261,Special
Pound,Normal,Physical,8,22,90,125,12,(#4) (#5) (#6),#0,Foe in front
Powder Snow,Ice,Special,4,17,90,125,12,(#4) (#5) (#6),#8,Foes in room
Power-Ears,Typeless,Status,2,27,100,125,0,(#4),#147,User
Present,Normal,Physical,2,19,90,100,12,(#4) (#5),#104,"Foe in front, cuts corners"
Protect,Normal,Status,2,10,100,75,12,(#4),#192,User
Psybeam,Psychic,Special,12,17,84,125,12,(#4) (#5) (#6),#28,Line of sight
Psych Up,Normal,Status,2,17,125,125,12,(#4),#254,Pokémon in front
Psychic,Psychic,Special,18,10,88,125,12,(#4) (#5) (#6),#20,Foe in front
Psycho Boost,Psychic,Special,28,8,90,125,12,(#4) (#5) (#6),#84,Foe in front
Psywave,Psychic,Special,2,19,88,100,12,(#4) (#5),#142,Line of sight
Pursuit,Dark,Special,8,17,100,125,12,(#4),#122,User
Quick Attack,Normal,Physical,4,13,88,125,12,(#4) (#5) (#6),#0,Foe 1-2 tiles ahead
Rage,Normal,Physical,4,22,100,125,12,(#4),#73,User
Rain Dance,Water,Status,2,12,125,125,12,(#4),#208,Floor
Rapid Spin,Normal,Physical,4,17,90,125,12,(#4) (#5) (#6),#213,Foe in front
Razor Leaf,Grass,Special,4,17,84,100,50,(#4) (#5) (#6),#11,Line of sight
Razor Wind,Normal,Physical,16,13,100,125,50,(#4) (#5) (#6),#131,"Foe in front, cuts corners"
Rebound,Typeless,Status,2,22,100,125,0,(#4),#236,User
Recover,Normal,Status,2,12,125,125,12,(#2) (#4),#116,User
Recycle,Normal,Status,2,17,100,125,12,(#4),#256,Items
Reflect,Psychic,Status,2,22,125,125,12,(#2) (#4),#105,User
Refresh,Normal,Status,2,12,125,125,12,(#2),#145,Allies in room
Rest,Psychic,Status,2,10,125,125,12,(#2) (#4),#115,User
Return,Normal,Physical,2,12,100,100,12,(#4) (#5),#250,Foe in front
Revenge,Fighting,Physical,12,12,100,125,12,(#4),#123,User
Reversal,Fighting,Physical,2,17,90,125,12,(#4) (#5) (#6),#195,Foe in front
Reviver,Typeless,Status,2,4,100,125,0,(#4),#239,User
Roar,Normal,Status,2,14,100,100,12,(#3) (#4) (#5) (#6),#66,Foe in front
Rock Blast,Rock,Physical,4,17,80,100,1,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Rock Slide,Rock,Physical,14,13,90,125,12,(#4) (#5) (#6),#39,Foe in front
Rock Smash,Fighting,Physical,1,99,100,100,12,(#4) (#5),#227,Walls
Rock Throw,Rock,Physical,5,16,90,125,12,(#4) (#5) (#6),#0,Foe in front
Rock Tomb,Rock,Physical,10,12,60,125,12,(#4) (#5) (#6),#63,Foe in front
Role Play,Psychic,Status,2,17,100,100,12,(#4),#246,Foe in front
Rolling Kick,Fighting,Physical,12,13,88,100,12,(#4) (#5) (#6),#37,Foe in front
Rollout,Rock,Physical,1,14,68,125,12,(#4) (#5) (#6),#110,Foe in front
Sacred Fire,Fire,Special,20,10,88,125,12,(#4) (#5) (#6),#33,Foe in front
Safeguard,Normal,Status,2,15,125,125,12,(#2) (#4),#107,Allies in room
Sand Tomb,Ground,Physical,4,17,73,125,12,(#4) (#5) (#6),#15,Foe in front
Sand-Attack,Ground,Status,2,22,100,80,12,(#1) (#4),#155,"Foe in front, cuts corners"
Sandstorm,Rock,Status,2,14,125,125,12,(#4),#106,Floor
Scan,Typeless,Status,2,27,100,125,0,(#4),#117,User
Scary Face,Normal,Status,2,14,100,70,12,(#1) (#4),#85,Foe in front
Scratch,Normal,Physical,8,22,90,125,12,(#4) (#5) (#6),#0,Foe in front
Screech,Normal,Status,2,22,88,100,12,(#1) (#3) (#4),#88,"Foe in front, cuts corners"
Searchlight,Typeless,Status,2,22,100,125,0,(#4),#166,User
Secret Power,Normal,Physical,14,10,88,125,12,(#4) (#5) (#6),#241,Foe in front
See Stairs,Typeless,Status,2,22,100,125,0,(#4),#170,User
See-Trap,Typeless,Status,2,22,100,125,0,(#4),#204,User
Seismic Toss,Fighting,Physical,2,22,100,100,12,(#4) (#5),#89,Foe in front
Selfdestruct,Normal,Physical,80,12,100,125,12,(#4) (#5),#196,Adjacent foes
Shadow Ball,Ghost,Physical,16,10,88,125,12,(#4) (#5) (#6),#40,Line of sight
Shadow Punch,Ghost,Physical,6,8,125,125,12,(#4) (#5) (#6),#0,Foe in front
Sharpen,Normal,Status,2,17,125,125,12,(#2) (#4),#72,User
Sheer Cold,Ice,Special,2,12,100,35,12,(#4) (#5),#13,Foe in front
Shock Wave,Electric,Special,7,8,125,125,12,(#4) (#5) (#6),#0,Line of sight
Shocker,Typeless,Status,2,22,45,125,0,(#4) (#5) (#6),#189,Foe in front
Siesta,Typeless,Status,2,12,100,100,0,(#4),#148,Foes in room
Signal Beam,Bug,Physical,14,15,84,125,12,(#4) (#5) (#6),#28,Line of sight
Silver Wind,Bug,Physical,12,13,95,125,12,(#4) (#5) (#6),#27,Foes in room
Sing,Normal,Status,2,17,84,100,12,(#1) (#3) (#4),#52,"Foe in front, cuts corners"
Sketch,Normal,Status,2,1,125,100,12,(#4),#244,Foe in front
Skill Swap,Psychic,Status,2,17,100,100,12,(#4),#247,Foe in front
Skull Bash,Normal,Physical,10,15,100,125,12,(#4) (#5) (#6),#151,User
Sky Attack,Flying,Physical,30,9,90,125,12,(#4) (#5) (#6),#98,"Foe in front, cuts corners"
Sky Uppercut,Fighting,Physical,16,12,90,125,12,(#4) (#5) (#6),#0,Foe in front
Slack Off,Normal,Status,2,17,100,125,12,(#2) (#4),#116,User
Slam,Normal,Physical,16,12,78,125,12,(#4) (#5) (#6),#0,Foe in front
Slash,Normal,Physical,14,11,88,125,50,(#4) (#5) (#6),#11,Foe in front
Sleep Powder,Grass,Status,2,19,78,100,12,(#1) (#4),#52,Adjacent foes
Sleep Talk,Normal,Physical,2,17,125,125,12,(#3) (#4),#126,Special
Slow Down,Typeless,Status,2,37,100,100,0,(#4),#99,Foes in room
Sludge,Poison,Physical,12,22,88,125,12,(#4) (#5) (#6),#19,"Foe in front, cuts corners"
Sludge Bomb,Poison,Physical,18,10,84,125,12,(#4) (#5) (#6),#19,Line of sight
Smellingsalt,Normal,Physical,12,15,88,125,12,(#4) (#5) (#6),#149,Foe in front
Smog,Poison,Physical,4,17,73,125,12,(#4) (#5) (#6),#32,Foe in front
Smokescreen,Normal,Status,2,10,78,100,12,(#1) (#4),#203,"Foe in front, cuts corners"
Snatch,Dark,Status,2,17,100,125,12,(#4),#251,User
Snore,Normal,Physical,4,16,95,125,12,(#3) (#4) (#5) (#6),#255,Special
Softboiled,Normal,Status,2,15,100,125,12,(#2) (#4),#112,Allies in room
SolarBeam,Grass,Special,24,9,100,125,12,(#4) (#5) (#6),#97,"Foe in front, cuts corners"
Sonicboom,Normal,Physical,10,22,90,100,12,(#4) (#5),#48,Line of sight
Spark,Electric,Special,12,15,88,125,12,(#4) (#5) (#6),#35,Foe in front
Speed Boost,Typeless,Status,2,22,100,125,0,(#4),#121,Allies in room
Spider Web,Bug,Status,2,16,100,100,12,(#1) (#4),#18,"Foe in front, cuts corners"
Spike Cannon,Normal,Physical,3,17,70,125,2,(#4) (#5) (#6),#0,Line of sight
Spikes,Ground,Status,2,22,125,125,12,(#4),#144,Floor
Spin Slash,Typeless,Physical,15,10,100,125,12,(#4) (#5) (#6),#0,3 foes: front and side
Spit Up,Normal,Physical,20,12,88,125,12,(#3) (#4) (#5) (#6),#206,Foe in front
Spite,Ghost,Status,2,15,100,100,12,(#4),#209,Foe in front
Splash,Normal,Status,2,50,125,125,12,(#4),#232,User
Spore,Grass,Status,2,19,100,100,12,(#1) (#4),#52,Foes in room
Stay Away,Typeless,Status,2,22,100,100,0,(#4),#234,"Foe in front, cuts corners"
Steel Wing,Steel,Physical,14,10,90,125,12,(#4) (#5) (#6),#23,Foe in front
Stockpile,Normal,Status,2,17,125,125,12,(#2) (#3) (#4),#205,User
Stomp,Normal,Physical,12,17,90,125,12,(#4) (#5) (#6),#37,Foe in front
Strength,Normal,Physical,20,12,100,100,12,(#4),#264,Foe in front
