species_id,species_name,exp_to_100,growth_rate,total_hp,total_att,total_sp_att,total_def,total_sp_def
157,Typhlosion,2155000,Fluctuating,218,97,106,64,64
339,Illumise,2155600,Fluctuating,89,67,77,30,30
261,Tyrogue,2160000,Fluctuating,89,67,77,30,30
193,Yanma,2165010,Fluctuating,178,89,100,66,65
9,Blastoise,2166000,Fluctuating,162,97,107,63,64
407,Registeel,2167150,Fluctuating,141,97,107,80,70
368,Baltoy,2171805,Fluctuating,136,74,83,43,44
369,Claydol,2171805,Fluctuating,114,74,84,40,40
281,Combusken,2172600,Fluctuating,185,99,112,47,46
282,Blaziken,2172600,Fluctuating,192,99,112,47,46
230,Forretress,2176000,Fluctuating,97,72,77,35,30
396,Gorebyss,2177400,Fluctuating,157,79,82,36,39
59,Arcanine,2180600,Fluctuating,153,67,77,39,39
278,Grovyle,2180600,Fluctuating,151,109,118,62,62
279,Sceptile,2180600,Fluctuating,207,109,118,62,62
359,Altaria,2185180,Fluctuating,143,98,96,43,42
150,Mewtwo,2185190,Fluctuating,179,94,104,39,58
151,Mew,2185190,Fluctuating,184,79,89,48,48
122,MrMime,2187290,Fluctuating,172,92,105,60,60
376,Castform,2187600,Fluctuating,112,74,79,48,47
377,Castform,2187600,Fluctuating,112,74,79,48,47
378,Castform,2187600,Fluctuating,112,74,79,48,47
379,Castform,2187600,Fluctuating,112,74,79,48,47
55,Golduck,2190000,Fluctuating,179,119,127,69,69
134,Vaporeon,2190000,Fluctuating,162,104,125,66,66
135,Jolteon,2190000,Fluctuating,161,104,125,66,66
154,Meganium,2190000,Fluctuating,219,123,121,63,63
196,Espeon,2190000,Fluctuating,162,104,125,66,66
197,Umbreon,2190000,Fluctuating,162,104,125,66,66
237,Scizor,2190000,Fluctuating,121,87,87,30,30
244,Magcargo,2190000,Fluctuating,165,89,91,44,42
254,Houndoom,2190000,Fluctuating,120,72,80,40,44
355,Flygon,2193800,Fluctuating,134,68,79,36,38
326,Delcatty,2194800,Fluctuating,156,100,109,60,61
156,Quilava,2195000,Fluctuating,193,97,106,64,64
276,Celebi,2199800,Fluctuating,159,79,89,43,43
401,Salamence,2200100,Fluctuating,170,77,87,48,48
389,Snorunt,2200600,Fluctuating,108,84,94,30,30
390,Glalie,2200600,Fluctuating,162,74,84,36,36
400,Shelgon,2203240,Fluctuating,140,65,75,37,37
53,Persian,2205000,Fluctuating,187,99,108,57,55
352,Spinda,2208910,Fluctuating,94,65,70,39,38
247,Corsola,2209600,Fluctuating,142,81,82,42,42
6,Charizard,2210000,Fluctuating,168,103,107,72,73
17,Pidgeotto,2210000,Fluctuating,90,85,80,40,29
125,Electabuzz,2210000,Fluctuating,98,87,87,38,34
160,Feraligatr,2210000,Fluctuating,188,91,105,57,57
285,Swampert,2214000,Fluctuating,198,93,96,53,48
350,Spoink,2215050,Fluctuating,117,85,88,45,45
351,Grumpig,2215050,Fluctuating,145,78,82,43,42
358,Swablu,2215180,Fluctuating,110,85,93,47,46
131,Lapras,2215875,Fluctuating,154,92,100,63,63
383,Duskull,2218100,Fluctuating,146,68,78,36,36
384,Dusclops,2218100,Fluctuating,140,71,81,36,36
385,Tropius,2223700,Fluctuating,153,72,81,38,39
399,Bagon,2224000,Fluctuating,137,62,71,39,38
76,Golem,2227800,Fluctuating,121,87,97,41,38
137,Porygon,2236000,Fluctuating,100,69,132,37,33
258,Porygon2,2236000,Fluctuating,125,80,90,34,34
126,Magmar,2236400,Fluctuating,147,88,122,50,48
228,Girafarig,2238900,Fluctuating,161,95,98,56,58
97,Hypno,2240000,Fluctuating,104,87,81,28,33
231,Dunsparce,2241000,Fluctuating,89,67,77,30,30
294,Dustox,2244000,Fluctuating,89,67,77,30,30
101,Electrode,2245000,Fluctuating,160,80,90,47,41
138,Omanyte,2250500,Fluctuating,135,78,81,40,37
139,Omastar,2250500,Fluctuating,155,95,86,39,38
178,Xatu,2255900,Fluctuating,128,94,140,42,41
297,Ludicolo,2260000,Fluctuating,142,118,115,61,61
361,Seviper,2263000,Fluctuating,175,100,106,67,66
310,Shroomish,2264000,Fluctuating,89,67,77,30,30
31,Nidoqueen,2270000,Fluctuating,98,71,83,43,42
287,Mightyena,2274000,Fluctuating,109,62,75,36,36
365,Whiscash,2276600,Fluctuating,140,79,82,39,38
119,Seaking,2280000,Fluctuating,94,109,90,77,49
240,Sneasel,2280000,Fluctuating,130,122,116,76,58
246,Piloswine,2280000,Fluctuating,105,67,77,34,34
305,Ralts,2280000,Fluctuating,89,75,85,43,42
306,Kirlia,2280000,Fluctuating,93,86,92,54,52
307,Gardevoir,2280000,Fluctuating,85,98,95,52,54
109,Koffing,2286000,Fluctuating,98,67,77,30,30
110,Weezing,2286000,Fluctuating,98,77,87,30,30
99,Kingler,2290000,Fluctuating,175,110,105,52,57
192,Sunflora,2290000,Fluctuating,89,77,87,30,30
255,Kingdra,2290009,Fluctuating,186,95,99,44,44
334,Electrike,2290600,Fluctuating,142,73,82,47,47
335,Manectric,2290600,Fluctuating,143,84,94,49,49
167,Spinarak,2292800,Fluctuating,124,71,76,42,46
168,Ariados,2292800,Fluctuating,133,89,93,47,49
353,Trapinch,2294600,Fluctuating,123,65,77,39,40
354,Vibrava,2294600,Fluctuating,135,71,83,40,43
402,Beldum,2294804,Fluctuating,113,69,58,58,43
3,Venusaur,2300000,Fluctuating,181,127,127,44,44
57,Primeape,2300000,Fluctuating,125,68,71,31,28
82,Magneton,2300560,Fluctuating,152,76,81,39,38
37,Vulpix,2303140,Fluctuating,163,82,90,41,39
38,Ninetales,2303140,Fluctuating,170,70,81,39,38
362,Lunatone,2306040,Fluctuating,110,67,77,30,30
363,Solrock,2306040,Fluctuating,110,67,77,30,30
364,Barboach,2306600,Fluctuating,113,75,84,42,39
175,Togepi,2310000,Fluctuating,70,50,50,20,19
309,Masquerain,2310000,Fluctuating,99,87,96,42,41
51,Dugtrio,2310020,Fluctuating,145,75,77,37,36
117,Seadra,2310360,Fluctuating,166,94,92,43,47
300,Shiftry,2311500,Fluctuating,162,84,94,49,47
397,Relicanth,2312045,Fluctuating,199,96,106,58,58
381,Shuppet,2313600,Fluctuating,116,72,82,36,36
382,Banette,2313600,Fluctuating,135,80,91,43,44
65,Alakazam,2314760,Fluctuating,95,56,64,13,13
94,Gengar,2320000,Fluctuating,140,110,113,52,51
80,Slowbro,2330000,Fluctuating,161,120,101,64,49
96,Drowzee,2330000,Fluctuating,108,60,65,29,28
102,Exeggcute,2330000,Fluctuating,128,77,89,46,47
103,Exeggutor,2330000,Fluctuating,120,87,87,30,30
176,Togetic,2330000,Fluctuating,123,92,91,48,46
199,Slowking,2330000,Fluctuating,172,100,124,59,59
143,Snorlax,2330310,Fluctuating,147,144,118,63,91
128,Tauros,2334010,Fluctuating,194,80,91,53,57
373,Armaldo,2335400,Fluctuating,142,80,94,52,47
106,Hitmonlee,2340000,Fluctuating,76,51,57,23,22
107,Hitmonchan,2340000,Fluctuating,77,49,55,19,18
262,Hitmontop,2340000,Fluctuating,125,83,90,43,40
330,Lairon,2345400,Fluctuating,94,72,82,36,36
331,Aggron,2345400,Fluctuating,143,70,77,42,42
91,Cloyster,2346000,Fluctuating,165,100,93,45,44
70,Weepinbell,2353000,Fluctuating,64,46,49,17,17
413,Jirachi,2360000,Fluctuating,154,79,89,58,58
98,Krabby,2360020,Fluctuating,159,100,93,50,54
256,Phanpy,2363640,Fluctuating,132,71,76,49,48
257,Donphan,2363640,Fluctuating,137,78,82,35,33
34,Nidoking,2364000,Fluctuating,105,71,82,36,40
14,Kakuna,2364600,Fluctuating,100,50,50,20,19
308,Surskit,2370000,Fluctuating,134,83,93,46,46
200,Misdreavus,2372850,Fluctuating,150,86,91,50,49
409,Latios,2373400,Fluctuating,154,90,99,56,58
347,Numel,2374900,Fluctuating,131,78,89,45,47
348,Camerupt,2374900,Fluctuating,152,75,87,43,44
250,Delibird,2375940,Fluctuating,202,99,106,60,68
181,Ampharos,2378000,Fluctuating,157,88,110,48,49
86,Seel,2380000,Fluctuating,117,88,85,60,47
87,Dewgong,2380000,Fluctuating,140,105,93,57,41
89,Muk,2380000,Fluctuating,136,89,87,42,40
108,Lickitung,2380000,Fluctuating,169,63,69,30,33
111,Rhyhorn,2380000,Fluctuating,122,65,75,46,42
112,Rhydon,2380000,Fluctuating,156,80,90,46,42
120,Staryu,2380000,Fluctuating,163,80,88,42,42
121,Starmie,2380000,Fluctuating,158,91,109,44,45
349,Torkoal,2387600,Fluctuating,161,85,95,53,51
338,Volbeat,2389340,Fluctuating,148,74,79,45,45
249,Octillery,2397600,Fluctuating,160,81,88,40,39
142,Aerodactyl,2397800,Fluctuating,182,92,103,62,60
67,Machoke,2399940,Fluctuating,164,91,105,56,56
68,Machamp,2399940,Fluctuating,174,91,105,56,56
234,Snubbull,2400000,Fluctuating,115,78,80,43,41
235,Granbull,2400000,Fluctuating,119,82,84,44,44
272,Pupitar,2400000,Fluctuating,128,76,77,45,39
273,Tyranitar,2400000,Fluctuating,131,64,65,27,23
327,Sableye,2402015,Fluctuating,165,83,88,44,44
233,Steelix,2402400,Fluctuating,175,86,83,45,41
395,Huntail,2402400,Fluctuating,170,85,90,44,41
313,Vigoroth,2403600,Fluctuating,97,71,71,39,29
393,Walrein,2403600,Fluctuating,172,84,91,48,47
408,Latias,2405400,Fluctuating,142,90,99,56,59
266,Miltank,2405940,Fluctuating,174,88,99,59,47
159,Croconaw,2410000,Fluctuating,190,91,105,57,57
366,Corphish,2418800,Fluctuating,135,83,92,57,52
170,Chinchou,2419810,Fluctuating,165,81,85,43,45
171,Lanturn,2419810,Fluctuating,165,92,94,44,45
78,Rapidash,2420000,Fluctuating,134,91,90,37,37
345,Wailmer,2422300,Fluctuating,143,83,89,38,38
346,Wailord,2422300,Fluctuating,150,85,85,41,41
75,Graveler,2427800,Fluctuating,124,80,94,38,37
318,Whismur,2432000,Fluctuating,135,77,79,48,46
319,Loudred,2432000,Fluctuating,131,75,80,40,40
320,Exploud,2432000,Fluctuating,142,77,81,40,39
26,Raichu,2434550,Fluctuating,170,114,124,66,64
127,Pinsir,2442005,Fluctuating,200,88,103,67,67
242,Ursaring,2444000,Fluctuating,163,91,93,49,49
153,Bayleef,2450000,Fluctuating,179,123,121,63,63
182,Bellossom,2452045,Fluctuating,150,81,90,49,47
195,Quagsire,2456000,Fluctuating,129,92,97,42,43
336,Plusle,2462010,Fluctuating,174,83,90,50,52
337,Minun,2462010,Fluctuating,174,83,90,50,52
372,Anorith,2465940,Fluctuating,143,80,85,43,43
149,Dragonite,2475560,Fluctuating,197,108,99,46,45
410,Kyogre,2480000,Fluctuating,165,93,103,60,62
411,Groudon,2480000,Fluctuating,171,92,102,49,49
412,Rayquaza,2480000,Fluctuating,178,89,99,58,58
414,Deoxys,2480000,Fluctuating,174,112,120,79,81
417,Deoxys,2480000,Fluctuating,174,112,120,79,81
418,Deoxys,2480000,Fluctuating,174,112,120,79,81
419,Deoxys,2480000,Fluctuating,174,112,120,79,81
343,Carvanha,2484200,Fluctuating,142,78,83,41,40
344,Sharpedo,2484200,Fluctuating,150,75,80,55,38
394,Clamperl,2492350,Fluctuating,153,73,77,40,40
186,Politoed,2500000,Fluctuating,161,85,129,44,42
288,Zigzagoon,2500140,Fluctuating,89,67,77,30,30
289,Linoone,2500140,Fluctuating,89,67,77,30,30
232,Gligar,2500400,Fluctuating,188,93,105,65,65
136,Flareon,2510000,Fluctuating,162,104,125,66,66
201,Unown,2513290,Fluctuating,193,103,111,46,48
202,Unown,2513290,Fluctuating,193,103,111,46,48
203,Unown,2513290,Fluctuating,193,103,111,46,48
204,Unown,2513290,Fluctuating,193,103,111,46,48
205,Unown,2513290,Fluctuating,193,103,111,46,48
206,Unown,2513290,Fluctuating,193,103,111,46,48
207,Unown,2513290,Fluctuating,193,103,111,46,48
208,Unown,2513290,Fluctuating,193,103,111,46,48
209,Unown,2513290,Fluctuating,193,103,111,46,48
210,Unown,2513290,Fluctuating,193,103,111,46,48
211,Unown,2513290,Fluctuating,193,103,111,46,48
212,Unown,2513290,Fluctuating,193,103,111,46,48
213,Unown,2513290,Fluctuating,193,103,111,46,48
214,Unown,2513290,Fluctuating,193,103,111,46,48
215,Unown,2513290,Fluctuating,193,103,111,46,48
216,Unown,2513290,Fluctuating,193,103,111,46,48
217,Unown,2513290,Fluctuating,193,103,111,46,48
218,Unown,2513290,Fluctuating,193,103,111,46,48
219,Unown,2513290,Fluctuating,193,103,111,46,48
220,Unown,2513290,Fluctuating,193,103,111,46,48
221,Unown,2513290,Fluctuating,193,103,111,46,48
222,Unown,2513290,Fluctuating,193,103,111,46,48
223,Unown,2513290,Fluctuating,193,103,111,46,48
224,Unown,2513290,Fluctuating,193,103,111,46,48
225,Unown,2513290,Fluctuating,193,103,111,46,48
226,Unown,2513290,Fluctuating,193,103,111,46,48
415,Unown,2513290,Fluctuating,193,103,111,46,48
416,Unown,2513290,Fluctuating,193,103,111,46,48
180,Flaaffy,2550000,Fluctuating,158,87,100,46,42
392,Sealeo,2553000,Fluctuating,161,88,93,47,46
148,Dragonair,2560000,Fluctuating,155,84,89,46,42
296,Lombre,2560000,Fluctuating,137,89,98,56,55
184,Azumarill,2575500,Fluctuating,161,95,100,48,47
391,Spheal,2585940,Fluctuating,133,89,94,45,44
124,Jynx,2602400,Fluctuating,124,71,76,26,26
263,Smoochum,2602400,Fluctuating,125,94,90,38,39
72,Tentacool,2603050,Fluctuating,124,79,84,38,37
248,Remoraid,2603100,Fluctuating,149,76,77,46,45
299,Nuzleaf,2611500,Fluctuating,108,77,87,40,40
284,Marshtomp,2636600,Fluctuating,148,94,97,53,48
269,Entei,2662500,Fluctuating,165,101,113,62,60
270,Suicune,2665000,Fluctuating,173,99,107,64,61
268,Raikou,2672500,Fluctuating,158,98,110,62,62
42,Golbat,2680000,Fluctuating,99,67,76,29,29
169,Crobat,2680000,Fluctuating,167,80,81,52,51
74,Geodude,2692505,Fluctuating,142,84,97,47,52
39,Jigglypuff,2695000,Fluctuating,150,81,88,18,19
40,Wigglytuff,2695000,Fluctuating,145,74,91,29,27
174,Igglybuff,2695000,Fluctuating,135,73,83,43,45
274,Lugia,2695500,Fluctuating,194,99,107,83,85
62,Poliwrath,2700000,Fluctuating,135,60,72,31,31
177,Natu,2705900,Fluctuating,120,87,90,42,42
8,Wartortle,2706000,Fluctuating,169,97,107,63,64
129,Magikarp,2706400,Fluctuating,70,50,50,20,19
130,Gyarados,2706400,Fluctuating,173,76,84,48,48
374,Feebas,2712000,Fluctuating,70,50,50,20,19
375,Milotic,2712000,Fluctuating,170,79,89,43,43
251,Mantine,2716000,Fluctuating,230,112,125,63,62
2,Ivysaur,2722190,Fluctuating,170,106,106,44,34
30,Nidorina,2734000,Fluctuating,84,64,71,34,35
5,Charmeleon,2740000,Fluctuating,157,103,107,72,73
275,HoOh,2747700,Fluctuating,178,102,115,54,77
69,Bellsprout,2753000,Fluctuating,70,50,50,20,19
229,Pineco,2776000,Fluctuating,97,72,77,35,30
93,Haunter,2780000,Fluctuating,160,85,90,49,48
265,Magby,2803600,Fluctuating,142,70,80,40,40
187,Hoppip,2805010,Fluctuating,133,81,85,49,49
188,Skiploom,2805010,Fluctuating,132,82,86,50,50
321,Makuhita,2817600,Fluctuating,125,107,85,60,47
322,Hariyama,2817600,Fluctuating,155,95,89,61,45
64,Kadabra,2824760,Fluctuating,97,69,66,24,23
388,Wynaut,2826000,Fluctuating,129,77,80,34,34
290,Wurmple,2844000,Fluctuating,89,67,77,30,30
291,Silcoon,2844000,Fluctuating,89,67,77,30,30
292,Beautifly,2844000,Fluctuating,101,63,76,38,37
293,Cascoon,2844000,Fluctuating,89,67,77,30,30
33,Nidorino,2884000,Fluctuating,89,67,77,30,30
95,Onix,2890000,Fluctuating,128,80,85,28,27
191,Sunkern,2890000,Fluctuating,89,67,77,30,30
44,Gloom,2932045,Fluctuating,123,67,77,30,30
45,Vileplume,2932045,Fluctuating,89,67,77,30,30
123,Scyther,2950100,Fluctuating,131,74,88,46,47
323,Azurill,3000150,Fluctuating,89,67,77,30,30
10,Caterpie,3000300,Fluctuating,70,50,50,20,19
329,Aron,3004640,Fluctuating,94,72,82,36,36
356,Cacnea,3020600,Fluctuating,89,67,77,30,30
16,Pidgey,3030000,Fluctuating,109,84,91,53,42
264,Elekid,3047005,Fluctuating,166,78,92,47,50
133,Eevee,3048290,Fluctuating,151,104,125,66,66
58,Growlithe,3050600,Fluctuating,145,66,76,43,42
66,Machop,3078760,Fluctuating,143,91,105,56,56
158,Totodile,3078770,Fluctuating,143,91,105,57,57
312,Slakoth,3093600,Fluctuating,97,71,71,39,29
104,Cubone,3100000,Fluctuating,165,93,108,55,58
27,Sandshrew,3112130,Fluctuating,124,80,86,63,54
19,Rattata,3120380,Fluctuating,90,70,77,46,36
100,Voltorb,3145000,Fluctuating,132,79,90,48,47
295,Lotad,3160000,Fluctuating,102,71,80,39,36
286,Poochyena,3161000,Fluctuating,106,68,81,48,45
179,Mareep,3190000,Fluctuating,154,83,99,47,45
56,Mankey,3200000,Fluctuating,89,67,77,30,30
77,Ponyta,3209000,Fluctuating,100,65,78,29,32
245,Swinub,3210000,Fluctuating,105,67,77,34,34
50,Diglett,3210020,Fluctuating,137,65,71,39,37
116,Horsea,3240360,Fluctuating,161,79,83,41,42
147,Dratini,3250000,Fluctuating,145,71,76,41,40
54,Psyduck,3255000,Fluctuating,167,119,127,69,69
185,Sudowoodo,3260810,Fluctuating,157,79,89,58,58
46,Paras,3290000,Fluctuating,117,81,91,51,51
155,Cyndaquil,3306430,Fluctuating,167,97,106,64,64
92,Gastly,3312005,Fluctuating,150,78,83,43,42
60,Poliwag,3320000,Fluctuating,124,52,63,32,31
241,Teddiursa,3344000,Fluctuating,89,67,77,30,30
152,Chikorita,3348150,Fluctuating,158,123,121,63,63
243,Slugma,3348800,Fluctuating,165,79,91,46,45
277,Treecko,3358290,Fluctuating,134,109,118,62,62
253,Houndour,3360000,Fluctuating,123,65,74,40,43
48,Venonat,3364000,Fluctuating,111,69,81,37,40
49,Venomoth,3364000,Fluctuating,135,82,90,42,44
13,Weedle,3364600,Fluctuating,100,50,50,20,19
325,Skitty,3393090,Fluctuating,156,100,109,60,61
25,Pikachu,3466815,Fluctuating,152,114,124,66,64
172,Pichu,3476815,Fluctuating,59,114,124,66,64
118,Goldeen,3502150,Fluctuating,94,87,80,66,49
194,Wooper,3510000,Fluctuating,108,71,77,36,39
298,Seedot,3511500,Fluctuating,105,75,86,41,39
90,Shellder,3516000,Fluctuating,165,86,89,44,43
79,Slowpoke,3530000,Fluctuating,133,109,96,74,53
43,Oddish,3532045,Fluctuating,126,57,66,38,37
165,Ledyba,3548805,Fluctuating,116,84,94,49,49
7,Squirtle,3573480,Fluctuating,146,97,107,63,64
88,Grimer,3583800,Fluctuating,110,64,74,44,44
271,Larvitar,3588845,Fluctuating,132,77,77,44,44
61,Poliwhirl,3600000,Fluctuating,132,56,73,31,31
4,Charmander,3602290,Fluctuating,146,103,107,72,73
303,Wingull,3620000,Fluctuating,139,84,90,49,48
280,Torchic,3628000,Fluctuating,153,102,112,59,59
23,Ekans,3660000,Fluctuating,114,78,81,42,42
24,Arbok,3660000,Fluctuating,127,82,84,44,47
41,Zubat,3660000,Fluctuating,93,61,71,24,24
183,Marill,3670000,Fluctuating,70,50,50,20,19
52,Meowth,3678000,Fluctuating,144,91,100,57,55
1,Bulbasaur,3685190,Fluctuating,155,88,88,62,56
380,Kecleon,3685190,Fluctuating,155,88,88,62,56
283,Mudkip,3700230,Fluctuating,140,99,110,65,65
387,Absol,3740000,Fluctuating,144,77,86,31,30
173,Cleffa,3790260,Fluctuating,70,50,50,20,19
81,Magnemite,3800560,Fluctuating,179,81,86,47,47
63,Abra,3844760,Fluctuating,102,69,75,47,47
29,Nidoran_F,3860000,Fluctuating,84,64,71,34,35
32,Nidoran_M,3924000,Fluctuating,89,67,77,30,30
