ID,Name,Tier,PrimaryLootDrop,SecondaryLootDrop,KecleonShopRareItem,KecleonShopCommonItem,NormalItemDrop,RareItemDrop,MonsterHouseDrop
23,Tight Belt,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
24,Sneak Scarf,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
25,Gold Ribbon,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
26,Goggle Specs,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
27,Diet Ribbon,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
28,Trap Scarf,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
29,Racket Band,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
30,Def. Scarf,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
31,Stamina Band,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
32,Plain Ribbon,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
33,Special Band,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
34,Zinc Band,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
35,Detect Band,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
37,Dodge Scarf,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
38,Bounce Band,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
39,Curve Band,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
40,Whiff Specs,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
41,No-Aim Scope,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
42,Lockon Specs,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
43,Munch Belt,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
44,Pass Scarf,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,Weather Band,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
46,Friend Bow,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,Heal Seed,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
55,Oran Berry,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
56,Sitrus Berry,5,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
57,Eyedrop Seed,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
58,Reviver Seed,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Blinker Seed,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
60,Doom Seed,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
61,Allure Seed,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
62,Life Seed,5,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
63,Rawst Berry,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
64,Hunger Seed,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
65,Quick Seed,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
66,Pecha Berry,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
67,Cheri Berry,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
68,Totter Seed,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
69,Sleep Seed,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
70,Plain Seed,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
71,Warp Seed,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
72,Blast Seed,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
73,Ginseng,5,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
74,Joy Seed,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
75,Chesto Berry,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
76,Stun Seed,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
77,Max Elixir,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
78,Protein,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
79,Calcium,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
80,Iron,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
81,Zinc,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
82,Apple,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
83,Big Apple,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
84,Grimy Food,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
85,Huge Apple,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
86,White Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
87,Red Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
88,Blue Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
89,Grass Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
90,Yellow Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
91,Clear Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
92,Orange Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
93,Pink Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
94,Brown Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
95,Sky Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
96,Gold Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
97,Green Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
98,Gray Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
99,Purple Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
100,Royal Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
101,Black Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
102,Silver Gummi,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
103,Banana,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
104,Chestnut,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
125,Focus Punch,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
126,Dragon Claw,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
127,Water Pulse,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
128,Calm Mind,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
129,Roar,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
130,Toxic,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
131,Hail Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
132,Bulk Up,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
133,Bullet Seed,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
134,Hidden Power,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
135,Sunny Orb,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
136,Taunt,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
137,Ice Beam,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
138,Blizzard,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
139,Hyper Beam,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
140,Light Screen,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
141,Protect,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
142,Rainy Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
143,Giga Drain,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
144,Safeguard,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
145,Frustration,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
146,Solarbeam,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
147,Iron Tail,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
148,Thunderbolt,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
149,Thunder,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
150,Earthquake,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
151,Return,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
152,Dig,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
153,Psychic,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
154,Shadow Ball,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
155,Brick Break,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
156,Evasion Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
157,Reflect,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
158,Shock Wave,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
159,Flamethrower,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
160,Sludge Bomb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
161,Sandy Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
162,Fire Blast,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
163,Rocky Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
164,Aerial Ace,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
165,Torment,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
166,Facade,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
167,Secret Power,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
168,Rest,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
169,Attract,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
170,Thief,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
171,Steel Wing,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
172,Skill Swap,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
173,Snatch Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
174,Overheat,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
175,Wide Slash,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
178,See-Trap Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
179,Mug Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
180,Rebound Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
181,Lob Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
182,Switcher Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
183,Blowback Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
184,Warp Orb,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
185,Transfer Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
186,Slow Orb,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
187,Quick Orb,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
188,Luminous Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
189,Petrify Orb,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
190,Stayaway Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
191,Pounce Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
192,Trawl Orb,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
193,Cleanse Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
195,Decoy Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
196,Slumber Orb,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
197,Totter Orb,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
198,Two-Edge Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
199,Silence Orb,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
201,Scanner Orb,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
202,Radar Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
203,Drought Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
204,Trapbust Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
205,Rollcall Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
206,Invisify Orb,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
207,One-Shot Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
208,Identify Orb,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
209,Vacuum-Cut,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
211,Shocker Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
212,Sizebust Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
213,One-Room Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
214,Fill-In Orb,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
215,Trapper Orb,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
217,Itemizer Orb,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
218,Hurl Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
219,Mobile Orb,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
221,Stairs Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
222,Longtoss Orb,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
223,Pierce Orb,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
224,Cut,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
225,Fly,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
226,Surf,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
227,Strength,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
228,Flash,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
229,Rock Smash,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
230,Waterfall,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
231,Dive,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
232,Link Box,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
