Pokemon,Type,weather,weather_chance_nightmare,weather_chance_hard,weather_chance_normal,BossMove1,BossMove2,BossMove3,BossMove4,BossMove1NonNightmare,BossMove2NonNightmare,BossMove3NonNightmare,BossMove4NonNightmare,BossAtk,BossSpAtk,BossDef,BossSpDef,Minion1,Minion1Atk,Minion1SpAtk,Minion1Def,Minion1SpDef,Minion1Move1,Minion1Move2,Minion1Move3,Minion1Move4,Minion1Move1NonNightmare,Minion1Move2NonNightmare,Minion1Move3NonNightmare,Minion1Move4NonNightmare,Minion2,Minion2Atk,Minion2SpAtk,Minion2Def,Minion2SpDef,Minion2Move1,Minion2Move2,Minion2Move3,Minion2Move4,Minion2Move1NonNightmare,Minion2Move2NonNightmare,Minion2Move3NonNightmare,Minion2Move4NonNightmare
Celebi,Grass,,,,,Psychic,Future Sight,AncientPower,Solarbeam,Psychic,Future Sight,AncientPower,Solarbeam,medium,medium,medium,medium,Tropius,low,low,medium,medium,Razor Leaf,Gust,Stun Spore,Aerial Ace,Razor Leaf,Gust,Aerial Ace,Solarbeam,Exeggutor,medium,high,medium,low,Psychic,Egg Bomb,Stun Spore,Reflect,Psychic,Psychic,Solarbeam,Leaf Blade
Venusaur,Grass,Sunny,1,0.6,0,Solarbeam,Sleep Powder,Sludge Bomb,Earthquake,Solarbeam,Sludge Bomb,Earthquake,Leaf Blade,medium,high,medium,high,Meganium,medium,medium,high,high,Razor Leaf,Body Slam,Light Screen,PoisonPowder,Razor Leaf,Body Slam,Solarbeam,Leaf Blade,Sceptile,medium,high,low,medium,Leaf Blade,Quick Attack,Agility,Pursuit,Leaf Blade,Quick Attack,Crunch,Solarbeam
Groudon,Ground,,,,,Earthquake,AncientPower,Slash,Bulk Up,Earthquake,AncientPower,Slash,Rock Slide,high,medium,high,medium,Rhydon,high,low,high,low,Earthquake,Rock Blast,Scary Face,Protect,Earthquake,Rock Blast,Rock Slide,AncientPower,Onix,low,low,high,low,Rock Slide,Rock Throw,Screech,Bind,Rock Slide,Rock Throw,Bind,Earthquake
Claydol,Ground,,,,,AncientPower,Psychic,Hyper Beam,Reflect,AncientPower,Psychic,Hyper Beam,Earthquake,low,low,high,high,Solrock,high,low,medium,low,Rock Slide,Psychic,Light Screen,Explosion,Rock Slide,Psychic,Explosion,Earthquake,Lunatone,low,high,low,medium,Psychic,Rock Throw,Hypnosis,Cosmic Power,Psychic,Rock Throw,Earthquake,Rock Slide
Articuno,Ice,Snow,1,0.6,0,Ice Beam,Gust,Agility,Mind Reader,Ice Beam,Gust,Aurora Beam,Icy Wind,medium,medium,high,high,Dewgong,low,low,medium,high,Aurora Beam,Surf,Ice Beam,Encore,Aurora Beam,Surf,Ice Beam,Icy Wind,Cloyster,high,medium,high,low,Aurora Beam,Protect,Spike Cannon,Supersonic,Aurora Beam,Spike Cannon,Ice Beam,Icy Wind
Regice,Ice,Hail,1,0.6,0,Ice Beam,Amnesia,Icy Wind,Explosion,Ice Beam,Icy Wind,Explosion,Aurora Beam,low,high,high,high,Glalie,medium,medium,medium,medium,Ice Beam,Crunch,Headbutt,Bite,Ice Beam,Crunch,Headbutt,Bite,Walrein,medium,medium,medium,medium,Surf,Body Slam,Ice Beam,Encore,Surf,Body Slam,Ice Beam,Aurora Beam
Mewtwo,Normal,,,,,Psychic,Thunderbolt,Barrier,Swift,Psychic,Thunderbolt,Swift,Strength,medium,high,medium,medium,Tauros,high,low,high,medium,Strength,Take Down,Scary Face,Pursuit,Strength,Take Down,Crunch,Psychic,Ursaring,high,medium,medium,medium,Slash,Strength,Fury Swipes,Earthquake,Slash,Strength,Slash,Earthquake
Mew,Normal,,,,,Psychic,Reflect,Mega Punch,Metronome,Psychic,Mega Punch,Thunderbolt,Swift,medium,medium,medium,medium,Togetic,low,medium,high,high,Metronome,AncientPower,Encore,Safeguard,AncientPower,Psychic,Thunderbolt,Swift,Porygon2,medium,high,medium,high,Tri Attack,Ice Beam,Psychic,Agility,Tri Attack,Ice Beam,Psychic,Thunderbolt
Muk,Poison,,,,,Sludge Bomb,Acid Armor,Minimize,Shadow Ball,Sludge Bomb,Shadow Ball,Poison Fang,Bite,high,low,medium,high,Weezing,high,medium,high,low,Sludge Bomb,Explosion,Smokescreen,Haze,Sludge Bomb,Explosion,Poison Fang,Shadow Ball,Swalot,medium,medium,medium,medium,Sludge Bomb,Amnesia,Body Slam,Yawn,Sludge Bomb,Body Slam,Poison Fang,Shadow Ball
Crobat,Poison,,,,,Sludge Bomb,Wing Attack,Confuse Ray,Bite,Sludge Bomb,Wing Attack,Bite,Poison Fang,high,low,medium,medium,Seviper,high,high,low,low,Poison Fang,Crunch,Glare,Screech,Poison Fang,Crunch,Sludge Bomb,Shadow Ball,Arbok,high,low,medium,medium,Acid,Glare,Bite,Wrap,Acid,Bite,Wrap,Sludge Bomb
Lugia,Psychic,Fog,1,0.6,0,Aeroblast,Hydro Pump,Psychic,Safeguard,Aeroblast,Hydro Pump,Psychic,Psybeam,medium,medium,high,high,Xatu,medium,high,low,low,Psychic,Confuse Ray,Future Sight,Teleport,Psychic,Future Sight,Psybeam,Thunderbolt,Starmie,medium,high,medium,medium,Surf,Thunderbolt,Psychic,Ice Beam,Surf,Thunderbolt,Psychic,Ice Beam
Deoxys,Psychic,,,,,Psychic,Cosmic Power,Thunderbolt,Ice Beam,Psychic,Thunderbolt,Ice Beam,Psybeam,high,high,low,low,Deoxys Attack,high,high,low,low,Psychic,Pursuit,Cosmic Power,Superpower,Psychic,Crunch,Superpower,Psybeam,Deoxys Defense,low,low,high,high,Psychic,Pursuit,Cosmic Power,Protect,Psychic,Crunch,Psybeam,Future Sight
Regirock,Rock,Sandstorm,1,0.6,0,Rock Slide,Superpower,Explosion,Curse,Rock Slide,Superpower,Explosion,AncientPower,high,low,high,high,Cradily,medium,medium,high,high,AncientPower,Razor Leaf,Confuse Ray,Amnesia,AncientPower,Razor Leaf,Rock Slide,Earthquake,Armaldo,high,low,high,medium,AncientPower,Slash,Fury Cutter,Protect,AncientPower,Slash,Fury Cutter,Rock Slide
Tyranitar,Rock,,,,,Crunch,Rock Slide,Earthquake,Dragon Dance,Crunch,Rock Slide,Earthquake,AncientPower,high,medium,high,medium,Kabutops,high,low,high,medium,Slash,AncientPower,Waterfall,Sand-Attack,Slash,AncientPower,Waterfall,Rock Slide,Omastar,low,high,high,medium,Surf,Spike Cannon,Protect,Bite,Surf,Spike Cannon,Bite,Rock Slide
Registeel,Steel,,,,,Metal Claw,Superpower,Explosion,Curse,Metal Claw,Superpower,Explosion,Meteor Mash,low,low,high,high,Magneton,low,high,high,medium,Thunderbolt,Supersonic,Lock-On,Zap Cannon,Thunderbolt,Zap Cannon,Metal Claw,Superpower,Skarmory,medium,low,high,medium,Steel Wing,Agility,Sand-Attack,Swift,Steel Wing,Swift,Metal Claw,Superpower
Jirachi,Steel,,,,,Psychic,Swift,Doom Desire,Double-Edge,Psychic,Swift,Doom Desire,Double-Edge,medium,medium,medium,medium,Metagross,high,medium,high,medium,Meteor Mash,Psychic,Agility,Earthquake,Meteor Mash,Psychic,Earthquake,Metal Claw,Steelix,medium,low,high,low,Iron Tail,Rock Slide,Sandstorm,Screech,Iron Tail,Rock Slide,Metal Claw,Superpower
Suicune,Water,Fog,1,0.6,0,Surf,Aurora Beam,Calm Mind,Crunch,Surf,Aurora Beam,Crunch,Hydro Pump,low,medium,high,high,Vaporeon,low,high,low,high,Surf,Aurora Beam,Acid Armor,Quick Attack,Surf,Aurora Beam,Quick Attack,Hydro Pump,Vaporeon,low,high,low,high,Surf,Aurora Beam,Acid Armor,Quick Attack,Surf,Aurora Beam,Quick Attack,Hydro Pump
Kyogre,Water,,,,,Surf,Ice Beam,Calm Mind,AncientPower,Surf,Ice Beam,AncientPower,Hydro Pump,medium,high,medium,high,Gorebyss,medium,high,high,low,Surf,Psychic,Agility,Amnesia,Surf,Psychic,Hydro Pump,Water Pulse,Huntail,high,medium,high,low,Crunch,Water Pulse,Scary Face,Bite,Crunch,Water Pulse,Bite,Surf
