,,,,,Body Part Color Overrides,,,,,,,,,,,,,,,,Contributor
40,40,MonsterNameWigglytuff,Wigglytuff,7,,,9,10,15,2,3,4,,,,8,,,,,FairyForestKing
41,41,MonsterNameZubat,Zubat,8,,,11,12,13,,,,,,,,,14,,,FairyForestKing
42,42,MonsterNameGolbat,Golbat,10,,,8,9,10,,,,2,3,4,,,6,7,,FairyForestKing
43,43,MonsterNameOddish,Oddish,3,,,,10,,11,12,,,,,12,13,,,,FairyForestKing
44,44,MonsterNameGloom,Gloom,4,,,,,,11,12,13,13,14,,5,6,4,15,,FairyForestKing
45,45,MonsterNameVileplume,Vileplume,3,,,,,,8,9,10,11,12,13,8,9,10,15,,FairyForestKing
46,46,MonsterNameParas,Paras,4,,,,,,,,,,,,12,13,14,,,FairyForestKing
47,47,MonsterNameParasect,Parasect,4,,,,,,,,,,,,12,13,14,,,FairyForestKing
48,48,MonsterNameVenonat,Venonat,7,,,8,9,,,,,,,13,2,3,4,,,FairyForestKing
49,49,MonsterNameVenomoth,Venomoth,7,,,13,14,,,,,2,3,4,,,,,,FairyForestKing
50,50,MonsterNameDiglett,Diglett,9,,,11,12,13,,,,2,,3,8,11,9,10,,FairyForestKing
51,51,MonsterNameDugtrio,Dugtrio,9,,,11,12,13,,,,2,,3,8,11,9,10,,FairyForestKing
52,52,MonsterNameMeowth,Meowth,4,,,,,,,,,,,,,,8,9,,FairyForestKing
53,53,MonsterNamePersian,Persian,4,,,3,4,15,,,,9,10,,,,10,,,FairyForestKing
54,54,MonsterNamePsyduck,Psyduck,0,,,8,9,10,8,9,10,,,,8,,,,,FairyForestKing
55,55,MonsterNameGolduck,Golduck,9,,,8,9,10,,,,5,6,7,,,8,,,FairyForestKing
56,56,MonsterNameMankey,Mankey,8,,,11,12,13,,,,6,,,2,3,8,9,14,FairyForestKing
57,57,MonsterNamePrimeape,Primeape,8,,,8,9,10,11,12,13,5,6,7,,,,,,FairyForestKing
58,58,MonsterNameGrowlithe,Growlithe,4,,,,,,,,,,,,5,6,4,,,FairyForestKing
59,59,MonsterNameArcanine,Arcanine,4,,,,,,,,,,,,5,6,,,,FairyForestKing
60,60,MonsterNamePoliwag,Poliwag,5,,,,,,,,,,,,5,6,7,,,FairyForestKing
61,61,MonsterNamePoliwhirl,Poliwhirl,9,,,,,,,,,5,6,7,,,,,,FairyForestKing
62,62,MonsterNamePoliwrath,Poliwrath,3,,,,,,,,,11,12,13,,,,,,FairyForestKing
63,63,MonsterNameAbra,Abra,4,,,,,,,,4,,,,,8,9,10,,FairyForestKing
64,64,MonsterNameKadabra,Kadabra,4,,,,,,2,3,4,,,,,8,9,,,FairyForestKing
65,65,MonsterNameAlakazam,Alakazam,7,,,,6,7,6,5,6,,,,8,9,10,,,FairyForestKing
66,66,MonsterNameMachop,Machop,8,,,6,9,,2,3,4,10,,,5,7,,,,FairyForestKing
67,67,MonsterNameMachoke,Machoke,3,,,11,12,13,8,9,10,,,,,5,6,,,FairyForestKing
68,68,MonsterNameMachamp,Machamp,3,,,,8,,11,12,13,9,,,3,4,,,,FairyForestKing
69,69,MonsterNameBellsprout,Bellsprout,4,,,8,9,10,,,,5,6,4,5,6,7,,,FairyForestKing
70,70,MonsterNameWeepinbell,Weepinbell,8,,,8,9,10,,,,12,13,14,,,,,,FairyForestKing
71,71,MonsterNameVictreebel,Victreebel,3,,,5,6,7,,,,12,13,14,8,9,10,15,,FairyForestKing
72,72,MonsterNameTentacool,Tentacool,3,,,,,,,,,,8,9,,,,15,,FairyForestKing
73,73,MonsterNameTentacruel,Tentacruel,3,,,,,,,,,,8,9,,,,15,,FairyForestKing
74,74,MonsterNameGeodude,Geodude,0,,,,,,,,,,,,,5,6,7,,FairyForestKing
75,75,MonsterNameGraveler,Graveler,4,,,,,,,,,,,,,12,13,14,,FairyForestKing
76,76,MonsterNameGolem,Golem,6,,,,,,,,,,,,5,6,7,,,FairyForestKing
77,77,MonsterNamePonyta,Ponyta,9,,,12,13,15,,,,,,,2,3,4,,,FairyForestKing
78,78,MonsterNameRapidash,Rapidash,6,,,13,14,15,,13,14,11,12,,,,,,,FairyForestKing
79,79,MonsterNameSlowpoke,Slowpoke,4,,,,,,8,9,10,,,,,3,4,15,,FairyForestKing
80,80,MonsterNameSlowbro,Slowbro,9,,,11,12,13,,,,,,,8,9,10,13,,FairyForestKing
81,81,MonsterNameMagnemite,Magnemite,5,,,,,,,11,,11,,,2,3,4,15,,FairyForestKing
82,82,MonsterNameMagneton,Magneton,5,,,,,,11,12,,11,12,,2,3,4,15,,FairyForestKing
83,83,MonsterNameFarfetch,Farfetch'd,11,,,11,12,13,,,,2,3,4,5,6,7,8,,FairyForestKing
84,84,MonsterNameDoduo,Doduo,3,,,8,9,10,,,,,,,,11,12,13,,FairyForestKing
85,85,MonsterNameDodrio,Dodrio,3,,,8,9,10,,,,2,,4,,11,12,13,,FairyForestKing
86,86,MonsterNameSeel,Seel,4,,,2,4,,8,9,10,,,,,2,3,4,,FairyForestKing
87,87,MonsterNameDewgong,Dewgong,4,,,,,,,,,,,,,2,3,4,,FairyForestKing
88,88,MonsterNameGrimer,Grimer,3,,,11,12,13,,,,,,,,,,,,FairyForestKing
89,89,MonsterNameMuk,Muk,3,,,11,12,13,,,,,,,,,,,,FairyForestKing
90,90,MonsterNameShellder,Shellder,1,,,8,9,10,,,,,,,,,,,,FairyForestKing
91,91,MonsterNameCloyster,Cloyster,11,,,,,,,,,5,6,7,,8,9,10,,FairyForestKing
92,92,MonsterNameGastly,Gastly,0,,,8,9,10,,,,,,,,,,13,,FairyForestKing
93,93,MonsterNameHaunter,Haunter,7,,,8,9,10,,,,,,,2,3,4,,,FairyForestKing
94,94,MonsterNameGengar,Gengar,5,,,11,12,13,,,,13,,11,5,6,7,,,FairyForestKing
95,95,MonsterNameOnix,Onix,4,,,,,,,,,,,,2,3,6,4,,FairyForestKing
96,96,MonsterNameDrowzee,Drowzee,11,,,12,,,12,13,14,,,,,,,,,FairyForestKing
97,97,MonsterNameHypno,Hypno,11,,,,,,12,13,14,,7,9,,,,10,,FairyForestKing
98,98,MonsterNameKrabby,Krabby,0,,,,,,,,,,,,5,6,7,,,FairyForestKing
99,99,MonsterNameKingler,Kingler,3,,,8,9,10,8,,,,,,,,,,,FairyForestKing
100,100,MonsterNameVoltorb,Voltorb,5,,,,,,8,9,10,,,,,,,,,FairyForestKing
101,101,MonsterNameElectrode,Electrode,5,,,,,,8,9,10,,,,,,,,,FairyForestKing
102,102,MonsterNameExeggcute,Exeggcute,4,,,5,6,7,,3,4,,,,,,2,3,,FairyForestKing
103,103,MonsterNameExeggutor,Exeggutor,8,,,8,9,10,,,,,,,5,6,7,,,FairyForestKing
104,104,MonsterNameCubone,Cubone,10,,,13,14,15,8,9,10,,,,5,6,6,7,,FairyForestKing
105,105,MonsterNameMarowak,Marowak,10,,,13,14,15,8,9,10,,,,5,5,6,7,,FairyForestKing
106,106,MonsterNameHitmonlee,Hitmonlee,3,,,,14,,11,12,13,,,,8,9,10,15,,FairyForestKing
107,107,MonsterNameHitmonchan,Hitmonchan,2,,,5,6,7,,,,,,,2,2,3,4,,FairyForestKing
108,108,MonsterNameLickitung,Lickitung,4,,,,4,15,2,3,4,5,6,7,,,,,,FairyForestKing
109,109,MonsterNameKoffing,Koffing,12,,,5,6,7,11,12,,,,,2,3,4,,,FairyForestKing
110,110,MonsterNameWeezing,Weezing,12,,,,,,11,12,,5,6,7,,,,,,FairyForestKing
111,111,MonsterNameRhyhorn,Rhyhorn,6,,,,,,,,,,,8,5,6,7,,,FairyForestKing
112,112,MonsterNameRhydon,Rhydon,6,,,,,,,,,,,,2,3,4,,,FairyForestKing
113,113,MonsterNameChansey,Chansey,3,,,8,9,10,,,,12,13,14,,,,,,FairyForestKing
114,114,MonsterNameTangela,Tangela,3,,,,,,11,12,13,,,,2,3,4,,,FairyForestKing
115,115,MonsterNameKangaskhan,Kangaskhan,6,,,,,,12,13,14,,,,5,6,,,,FairyForestKing
116,116,MonsterNameHorsea,Horsea,11,,,13,,14,,12,,5,6,7,,,,,,FairyForestKing
117,117,MonsterNameSeadra,Seadra,11,,,12,,13,,14,,5,6,7,,,,,,FairyForestKing
118,118,MonsterNameGoldeen,Goldeen,0,,,,,,,,,,,,5,2,6,7,,FairyForestKing
119,119,MonsterNameSeaking,Seaking,3,,,,,,,,,,13,14,9,10,,,,FairyForestKing
120,120,MonsterNameStaryu,Staryu,5,,,,,,,,,,,,,,,,,FairyForestKing
121,121,MonsterNameStarmie,Starmie,1,,,5,6,7,11,12,13,,,,5,6,7,,,FairyForestKing
122,122,MonsterNameMrMime,Mr. Mime,10,,,,,,,,,5,6,7,8,9,3,4,,FairyForestKing
123,123,MonsterNameScyther,Scyther,3,,,,,,,,,2,3,4,,,,,,FairyForestKing
124,124,MonsterNameJynx,Jynx,10,,,11,11,12,,,,,,6,2,3,2,7,,FairyForestKing
125,125,MonsterNameElectabuzz,Electabuzz,4,,,,,,12,13,14,,,,,,,,,FairyForestKing
126,126,MonsterNameMagmar,Magmar,1,,,,,,2,3,4,,14,14,,,,,,FairyForestKing
127,127,MonsterNamePinsir,Pinsir,9,,,,6,7,2,3,5,,,,8,11,12,13,,FairyForestKing
128,128,MonsterNameTauros,Tauros,3,,,8,9,10,11,12,13,,,,5,5,6,7,,FairyForestKing
129,129,MonsterNameMagikarp,Magikarp,0,,,,,,2,3,4,,5,4,6,7,,4,,FairyForestKing
130,130,MonsterNameGyarados,Gyarados,6,,,,,,,,,,,,8,8,9,10,,FairyForestKing
131,131,MonsterNameLapras,Lapras,7,,,5,6,7,,,,,,,12,13,14,15,,FairyForestKing
132,132,MonsterNameDitto,Ditto,0,,,,,,,,,,,,,,,15,,FairyForestKing
133,133,MonsterNameEevee,Eevee,5,,,13,14,15,,,,,,,,,,,,FairyForestKing
134,134,MonsterNameVaporeon,Vaporeon,7,,,,,,,,,,,,,,,,,FairyForestKing
135,135,MonsterNameJolteon,Jolteon,3,,,,,,12,13,14,9,,,,,,10,,FairyForestKing
136,136,MonsterNameFlareon,Flareon,4,,,,,,2,,,,,,,5,6,,,FairyForestKing
137,137,MonsterNamePorygon,Porygon,5,,,,9,10,12,13,14,,,,,8,9,,,FairyForestKing
138,138,MonsterNameOmanyte,Omanyte,4,,,,,,,,,,,,,,,,,FairyForestKing
139,139,MonsterNameOmastar,Omastar,4,,,,,,,,,,,,,,,,,FairyForestKing
140,140,MonsterNameKabuto,Kabuto,3,,,,,15,8,9,10,3,4,,,,,,,FairyForestKing
141,141,MonsterNameKabutops,Kabutops,10,,,,15,,8,9,10,,,,5,6,7,5,,FairyForestKing
142,142,MonsterNameAerodactyl,Aerodactyl,7,,,,,,,,,,8,9,,11,11,10,,FairyForestKing
143,143,MonsterNameSnorlax,Snorlax,9,,,11,12,13,8,,9,,,,5,6,7,,,FairyForestKing
144,144,MonsterNameArticuno,Articuno,7,,,,,,,,,2,3,4,1,,,,,FairyForestKing
145,145,MonsterNameZapdos,Zapdos,4,,,11,15,15,12,13,14,,,,,8,9,,,FairyForestKing
146,146,MonsterNameMoltres,Moltres,4,,,8,,15,8,9,10,,,,13,14,3,4,,FairyForestKing
147,147,MonsterNameDratini,Dratini,10,,,,,,,,,2,3,4,5,6,7,7,,FairyForestKing
148,148,MonsterNameDragonair,Dragonair,2,,,,,2,3,4,,,,,,,,,,FairyForestKing
149,149,MonsterNameDragonite,Dragonite,3,,,1,11,13,,,,12,14,15,5,6,7,,,FairyForestKing
150,150,MonsterNameMewtwo,Mewtwo,10,,,,,,,,,,,,,5,6,7,15,FairyForestKing
151,151,MonsterNameMew,Mew,0,,,8,9,10,8,9,10,,,,,,,,,FairyForestKing
152,152,MonsterNameChikorita,Chikorita,0,,,11,12,13,,,,,,,5,2,6,7,,FairyForestKing
153,153,MonsterNameBayleef,Bayleef,4,,,,,,,,,,,,5,2,6,4,,FairyForestKing
154,154,MonsterNameMeganium,Meganium,3,,,,,,,,,,,,,8,9,10,,FairyForestKing
155,155,MonsterNameCyndaquil,Cyndaquil,6,,,,,,2,3,4,5,6,7,8,9,7,,,FairyForestKing
156,156,MonsterNameQuilava,Quilava,2,,,,,,,,,11,12,13,13,11,,,,FairyForestKing
157,157,MonsterNameTyphlosion,Typhlosion,2,,,,,,,,,11,12,13,13,11,,,,FairyForestKing
158,158,MonsterNameTotodile,Totodile,0,,,5,6,7,,,,9,10,15,8,8,9,10,,FairyForestKing
159,159,MonsterNameCroconaw,Croconaw,0,,,,,,,,,9,10,15,8,9,10,15,,FairyForestKing
160,160,MonsterNameFeraligatr,Feraligatr,0,,,,,,,,,9,10,15,8,9,,10,,FairyForestKing
161,161,MonsterNameSentret,Sentret,4,,,,,,,,,,3,4,,,,6,,FairyForestKing
162,162,MonsterNameFurret,Furret,11,,,12,13,14,,,,11,12,,,,,,,FairyForestKing
163,163,MonsterNameHoothoot,Hoothoot,4,,,5,6,7,12,13,14,,,,,,,,,FairyForestKing
164,164,MonsterNameNoctowl,Noctowl,4,,,,,,,,,,,,5,2,6,4,,FairyForestKing
165,165,MonsterNameLedyba,Ledyba,6,,,11,12,,2,3,4,11,13,12,2,3,4,,,FairyForestKing
166,166,MonsterNameLedian,Ledian,9,,,,,,11,12,13,2,3,12,8,9,10,13,,FairyForestKing
167,167,MonsterNameSpinarak,Spinarak,2,,,,12,13,8,9,14,2,3,4,8,9,10,,,FairyForestKing
168,168,MonsterNameAriados,Ariados,7,,,,,,5,6,7,,,,8,9,10,,,FairyForestKing
169,169,MonsterNameCrobat,Crobat,10,,,8,9,10,,13,14,2,3,4,,,6,7,,FairyForestKing
170,170,MonsterNameChinchou,Chinchou,3,,,,,,11,12,13,5,6,7,2,,,3,14,FairyForestKing
171,171,MonsterNameLanturn,Lanturn,2,,,,,,,,,2,3,4,,,,,,FairyForestKing
172,172,MonsterNamePichu,Pichu,0,,,,,,2,3,4,,,,,,,,,FairyForestKing
173,173,MonsterNameCleffa,Cleffa,10,,,3,4,15,,,,,,,,,,,,FairyForestKing
174,174,MonsterNameIgglybuff,Igglybuff,1,,,3,4,15,,,,,,,,,,,,FairyForestKing
175,175,MonsterNameTogepi,Togepi,5,,,3,4,15,,9,10,5,6,7,,,,,,FairyForestKing
176,176,MonsterNameTogetic,Togetic,5,,,,,,8,9,10,5,6,7,2,3,4,4,,FairyForestKing
177,177,MonsterNameNatu,Natu,8,,,5,6,7,,,,4,8,9,12,13,14,,,FairyForestKing
178,178,MonsterNameXatu,Xatu,8,,,,,,,,,,,,,,,,,FairyForestKing
179,179,MonsterNameMareep,Mareep,11,,,12,13,14,2,3,4,6,7,,,,,,,FairyForestKing
180,180,MonsterNameFlaaffy,Flaaffy,10,,,,,,8,9,10,5,6,7,2,3,4,15,,FairyForestKing
181,181,MonsterNameAmpharos,Ampharos,1,,,,,,2,3,4,,,14,5,6,7,15,,FairyForestKing
182,182,MonsterNameBellossom,Bellossom,2,,,11,12,11,,,,5,6,7,2,3,4,15,,FairyForestKing
183,183,MonsterNameMarill,Marill,10,,,,,,2,3,4,,,,8,5,6,7,,FairyForestKing
184,184,MonsterNameAzumarill,Azumarill,5,,,,,,,,,2,3,4,,,,,,FairyForestKing
185,185,MonsterNameSudowoodo,Sudowoodo,3,,,11,12,13,,,,,14,9,2,3,,4,,FairyForestKing
186,186,MonsterNamePolitoed,Politoed,1,,,11,12,13,,,,2,3,4,5,5,6,7,,FairyForestKing
187,187,MonsterNameHoppip,Hoppip,3,,,12,13,,,,,12,13,14,,,,10,,FairyForestKing
188,188,MonsterNameSkiploom,Skiploom,2,,,,,6,,,,5,6,7,2,3,4,,,FairyForestKing
189,189,MonsterNameJumpluff,Jumpluff,10,,,,,,9,11,12,,,,2,2,3,4,,FairyForestKing
190,190,MonsterNameAipom,Aipom,11,,,,,,11,13,14,11,12,13,,,12,,,FairyForestKing
191,191,MonsterNameSunkern,Sunkern,8,,,,,,,,,2,3,4,12,13,14,,,FairyForestKing
192,192,MonsterNameSunflora,Sunflora,4,,,,,,,,,2,3,4,5,6,4,,,FairyForestKing
193,193,MonsterNameYanma,Yanma,3,,,5,6,7,,,,,,,,,,,,FairyForestKing
194,194,MonsterNameWooper,Wooper,11,,,12,13,14,,,,11,12,13,,,,,,FairyForestKing
195,195,MonsterNameQuagsire,Quagsire,7,,,8,9,10,,,,2,3,4,,8,,,,FairyForestKing
196,196,MonsterNameEspeon,Espeon,8,,,12,11,12,,,,2,3,,,6,7,,14,FairyForestKing
197,197,MonsterNameUmbreon,Umbreon,5,,,8,9,10,2,3,4,,,,,,,,,FairyForestKing
198,198,MonsterNameMurkrow,Murkrow,7,,,,,,,,,,,,,11,,,,FairyForestKing
199,199,MonsterNameSlowking,Slowking,11,,,3,,,2,3,,12,13,14,8,9,10,15,,FairyForestKing
200,200,MonsterNameMisdreavus,Misdreavus,4,,,,,,,,,,,,8,9,10,15,,FairyForestKing
201,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
202,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
203,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
204,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
205,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
206,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
207,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
208,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
209,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
210,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
211,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
212,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
213,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
214,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
215,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
216,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
217,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
218,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
219,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
220,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
221,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
222,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
223,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
224,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
225,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
226,201,MonsterNameUnown,Unown,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
227,202,MonsterNameWobbuffet,Wobbuffet,7,,,,,,,,,,,,12,13,14,15,,FairyForestKing
228,203,MonsterNameGirafarig,Girafarig,0,,,,,,,,,,,,,,,,,FairyForestKing
229,204,MonsterNamePineco,Pineco,0,,,,,,,,,5,2,6,,11,,15,,FairyForestKing
230,205,MonsterNameForretress,Forretress,0,,,,,,,,,5,6,,2,5,6,7,,FairyForestKing
231,206,MonsterNameDunsparce,Dunsparce,4,,,,,,,,,,,,,,,,,FairyForestKing
232,207,MonsterNameGligar,Gligar,7,,,,,,,,,2,3,4,,,,,,FairyForestKing
233,208,MonsterNameSteelix,Steelix,4,,,,,,,,,,,,,2,6,4,,FairyForestKing
234,209,MonsterNameSnubbull,Snubbull,11,,,12,13,14,12,13,14,11,12,,8,9,10,,,FairyForestKing
235,210,MonsterNameGranbull,Granbull,5,,,,,,,,,,,,,,,,,FairyForestKing
236,211,MonsterNameQwilfish,Qwilfish,2,,,,,,3,4,15,2,3,4,,,,15,,FairyForestKing
237,212,MonsterNameScizor,Scizor,3,,,,,,,10,,11,,7,12,13,14,15,,FairyForestKing
238,213,MonsterNameShuckle,Shuckle,0,,,,,,,,,,,,8,9,10,,,FairyForestKing
239,214,MonsterNameHeracross,Heracross,7,,,,,,,,,,,,,,,15,,FairyForestKing
240,215,MonsterNameSneasel,Sneasel,4,,,,,,,,,,,,5,6,7,,,FairyForestKing
241,216,MonsterNameTeddiursa,Teddiursa,8,,,8,9,10,,,,,,,,,,,,FairyForestKing
242,217,MonsterNameUrsaring,Ursaring,8,,,,14,11,8,9,10,,,,12,13,14,,,FairyForestKing
243,218,MonsterNameSlugma,Slugma,6,,,,,,2,3,4,,,,12,13,14,,,FairyForestKing
244,219,MonsterNameMagcargo,Magcargo,2,,,,,,,,,11,12,13,2,3,4,15,,FairyForestKing
245,220,MonsterNameSwinub,Swinub,12,,,,,,,,,5,6,7,,,,,,FairyForestKing
246,221,MonsterNamePiloswine,Piloswine,4,,,8,9,10,,,4,2,3,4,,,,6,,FairyForestKing
247,222,MonsterNameCorsola,Corsola,5,,,8,9,10,8,13,14,,,,8,11,,,,FairyForestKing
248,223,MonsterNameRemoraid,Remoraid,7,,,,,,11,11,,3,4,,8,8,9,10,,FairyForestKing
249,224,MonsterNameOctillery,Octillery,4,,,,,,3,7,4,,,,5,2,6,3,,FairyForestKing
250,225,MonsterNameDelibird,Delibird,7,,,,,,,,,,,,8,9,,,,FairyForestKing
251,226,MonsterNameMantine,Mantine,7,,,3,4,15,,,,2,3,4,,,,,,FairyForestKing
252,227,MonsterNameSkarmory,Skarmory,8,,,,5,6,11,12,13,,,,3,8,9,10,,FairyForestKing
253,228,MonsterNameHoundour,Houndour,5,,,,,,,,,,3,4,8,9,,,,FairyForestKing
254,229,MonsterNameHoundoom,Houndoom,5,,,,,,,,,,3,4,8,9,,,,FairyForestKing
255,230,MonsterNameKingdra,Kingdra,7,,,6,,,,7,,,,,2,3,4,,,FairyForestKing
256,231,MonsterNamePhanpy,Phanpy,3,,,,,,,,,5,6,7,2,3,4,,,FairyForestKing
257,232,MonsterNameDonphan,Donphan,8,,,,,,,,,,,,3,8,9,10,,FairyForestKing
258,233,MonsterNamePorygon2,Porygon2,5,,,8,9,10,12,13,14,,,,8,,,15,,FairyForestKing
259,234,MonsterNameStantler,Stantler,8,,,12,13,14,8,9,10,,,,,11,3,4,,FairyForestKing
260,235,MonsterNameSmeargle,Smeargle,8,,,,,,,,,,,,5,6,7,,,FairyForestKing
261,236,MonsterNameTyrogue,Tyrogue,5,,,12,13,14,,9,,,,14,8,9,10,,,FairyForestKing
262,237,MonsterNameHitmontop,Hitmontop,11,,,,,11,12,13,14,,,,9,10,9,15,,FairyForestKing
263,238,MonsterNameSmoochum,Smoochum,11,,,,,,2,3,4,7,,,12,13,14,,,FairyForestKing
264,239,MonsterNameElekid,Elekid,4,,,,,,6,3,4,,,,5,6,,,,FairyForestKing
