id,name,bst_scale,bst_raw,dungeon_number,addon,cost_normal,cost_hard,cost_nightmare,dungeon10_addon,cost_normal_d10,cost_hard_d10,cost_nightmare_d10
63,Abra,"0,3913",90,1,75,466,858,1249,750,1141,1533,1924
64,Kadabra,"0,6957",160,1,75,771,1466,2162,750,1446,2141,2837
65,Alakazam,1,230,1,75,1075,2075,3075,750,1750,2750,3750
66,Machop,"0,1304",30,1,75,205,336,466,750,880,1011,1141
67,Machoke,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
68,Machamp,"0,587",135,1,75,662,1249,1836,750,1337,1924,2511
69,Bellsprout,"0,1522",35,1,75,227,379,532,750,902,1054,1207
70,Weepinbell,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
71,Victreebel,"0,3696",85,1,75,445,814,1184,750,1120,1489,1859
72,Tentacool,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
73,Tentacruel,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
74,Geodude,"0,313",72,1,75,388,701,1014,750,1063,1376,1689
75,Graveler,"0,5435",125,1,75,618,1162,1705,750,1293,1837,2380
76,Golem,"0,6043",139,1,75,679,1284,1888,750,1354,1959,2563
77,Ponyta,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
78,Rapidash,"0,6",138,1,75,675,1275,1875,750,1350,1950,2550
79,Slowpoke,"0,3391",78,1,75,414,753,1092,750,1089,1428,1767
80,Slowbro,"0,4826",111,1,75,558,1040,1523,750,1233,1715,2198
81,Magnemite,"0,1348",31,1,75,210,345,479,750,885,1020,1154
82,Magneton,"0,4957",114,1,75,571,1066,1562,750,1246,1741,2237
83,Farfetch,"0,4",92,1,75,475,875,1275,750,1150,1550,1950
84,Doduo,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
85,Dodrio,"0,6087",140,1,75,684,1292,1901,750,1359,1967,2576
86,Seel,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
87,Dewgong,"0,5",115,1,75,575,1075,1575,750,1250,1750,2250
88,Grimer,"0,513",118,1,75,588,1101,1614,750,1263,1776,2289
89,Muk,"0,5826",134,1,75,658,1240,1823,750,1333,1915,2498
90,Shellder,"0,2478",57,1,75,323,571,818,750,998,1246,1493
91,Cloyster,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
92,Gastly,"0,2391",55,1,75,314,553,792,750,989,1228,1467
93,Haunter,"0,2957",68,1,75,371,666,962,750,1046,1341,1637
94,Gengar,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
95,Onix,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
96,Drowzee,"0,3652",84,1,75,440,805,1171,750,1115,1480,1846
97,Hypno,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
98,Krabby,"0,2435",56,1,75,318,562,805,750,993,1237,1480
99,Kingler,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
100,Voltorb,"0,2174",50,1,75,292,510,727,750,967,1185,1402
101,Electrode,"0,4",92,1,75,475,875,1275,750,1150,1550,1950
102,Exeggcute,"0,1478",34,1,75,223,371,518,750,898,1046,1193
103,Exeggutor,"0,3087",71,1,75,384,692,1001,750,1059,1367,1676
104,Cubone,"0,1174",27,1,75,192,310,427,750,867,985,1102
105,Marowak,"0,4348",100,1,75,510,945,1379,750,1185,1620,2054
106,Hitmonlee,"0,5261",121,1,75,601,1127,1653,750,1276,1802,2328
107,Hitmonchan,"0,587",135,1,75,662,1249,1836,750,1337,1924,2511
108,Lickitung,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
109,Koffing,"0,4087",94,1,75,484,892,1301,750,1159,1567,1976
110,Weezing,"0,5087",117,1,75,584,1092,1601,750,1259,1767,2276
111,Rhyhorn,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
112,Rhydon,"0,5826",134,1,75,658,1240,1823,750,1333,1915,2498
113,Chansey,"0,2652",61,1,75,340,605,871,750,1015,1280,1546
114,Tangela,"0,4478",103,1,75,523,971,1418,750,1198,1646,2093
115,Kangaskhan,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
116,Horsea,"0,2609",60,1,75,336,597,858,750,1011,1272,1533
117,Seadra,"0,3043",70,1,75,379,684,988,750,1054,1359,1663
118,Goldeen,"0,1957",45,1,75,271,466,662,750,946,1141,1337
119,Seaking,"0,3913",90,1,75,466,858,1249,750,1141,1533,1924
120,Staryu,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
121,Starmie,"0,6174",142,1,75,692,1310,1927,750,1367,1985,2602
122,MrMime,"0,2957",68,1,75,371,666,962,750,1046,1341,1637
123,Scyther,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
124,Jynx,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
125,Electabuzz,"0,387",89,1,75,462,849,1236,750,1137,1524,1911
126,Magmar,"0,487",112,1,75,562,1049,1536,750,1237,1724,2211
127,Pinsir,"0,3087",71,1,75,384,692,1001,750,1059,1367,1676
128,Tauros,"0,3783",87,1,75,453,832,1210,750,1128,1507,1885
129,Magikarp,"0,2261",52,1,75,301,527,753,750,976,1202,1428
130,Gyarados,"0,6087",140,1,75,684,1292,1901,750,1359,1967,2576
131,Lapras,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
132,Ditto,"0,2652",61,1,75,340,605,871,750,1015,1280,1546
133,Eevee,"0,113",26,1,75,188,301,414,750,863,976,1089
134,Vaporeon,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
135,Jolteon,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
136,Flareon,"0,5043",116,1,75,579,1084,1588,750,1254,1759,2263
137,Porygon,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
138,Omanyte,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
139,Omastar,"0,3304",76,1,75,405,736,1066,750,1080,1411,1741
140,Kabuto,"0,2957",68,1,75,371,666,962,750,1046,1341,1637
141,Kabutops,"0,3565",82,1,75,432,788,1145,750,1107,1463,1820
142,Aerodactyl,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
143,Snorlax,"0,2739",63,1,75,349,623,897,750,1024,1298,1572
144,Articuno,"0,5478",126,1,75,623,1171,1718,750,1298,1846,2393
145,Zapdos,"0,5174",119,1,75,592,1110,1627,750,1267,1785,2302
146,Moltres,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
147,Dratini,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
148,Dragonair,"0,3304",76,1,75,405,736,1066,750,1080,1411,1741
149,Dragonite,"0,387",89,1,75,462,849,1236,750,1137,1524,1911
150,Mewtwo,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
151,Mew,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
152,Chikorita,"0,1348",31,1,75,210,345,479,750,885,1020,1154
153,Bayleef,"0,3217",74,1,75,397,718,1040,750,1072,1393,1715
154,Meganium,"0,6957",160,1,75,771,1466,2162,750,1446,2141,2837
155,Cyndaquil,"0,1217",28,1,75,197,318,440,750,872,993,1115
156,Quilava,"0,3522",81,1,75,427,779,1132,750,1102,1454,1807
157,Typhlosion,"0,3913",90,1,75,466,858,1249,750,1141,1533,1924
158,Totodile,"0,1391",32,1,75,214,353,492,750,889,1028,1167
159,Croconaw,"0,3609",83,1,75,436,797,1158,750,1111,1472,1833
160,Feraligatr,"0,3913",90,1,75,466,858,1249,750,1141,1533,1924
161,Sentret,"0,3174",73,1,75,392,710,1027,750,1067,1385,1702
162,Furret,"0,4913",113,1,75,566,1058,1549,750,1241,1733,2224
163,Hoothoot,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
164,Noctowl,"0,4087",94,1,75,484,892,1301,750,1159,1567,1976
165,Ledyba,"0,3435",79,1,75,418,762,1105,750,1093,1437,1780
166,Ledian,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
167,Spinarak,"0,3913",90,1,75,466,858,1249,750,1141,1533,1924
168,Ariados,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
169,Crobat,"0,6217",143,1,75,697,1318,1940,750,1372,1993,2615
170,Chinchou,"0,287",66,1,75,362,649,936,750,1037,1324,1611
171,Lanturn,"0,3522",81,1,75,427,779,1132,750,1102,1454,1807
172,Pichu,"0,2478",57,1,75,323,571,818,750,998,1246,1493
173,Cleffa,"0,087",20,1,75,162,249,336,750,837,924,1011
174,Igglybuff,"0,2609",60,1,75,336,597,858,750,1011,1272,1533
175,Togepi,"0,2217",51,1,75,297,518,740,750,972,1193,1415
176,Togetic,"0,3217",74,1,75,397,718,1040,750,1072,1393,1715
177,Natu,"0,287",66,1,75,362,649,936,750,1037,1324,1611
178,Xatu,"0,3435",79,1,75,418,762,1105,750,1093,1437,1780
179,Mareep,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
180,Flaaffy,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
181,Ampharos,"0,4304",99,1,75,505,936,1366,750,1180,1611,2041
182,Bellossom,"0,2609",60,1,75,336,597,858,750,1011,1272,1533
183,Marill,"0,2304",53,1,75,305,536,766,750,980,1211,1441
184,Azumarill,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
185,Sudowoodo,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
186,Politoed,"0,3609",83,1,75,436,797,1158,750,1111,1472,1833
187,Hoppip,"0,2",46,1,75,275,475,675,750,950,1150,1350
188,Skiploom,"0,2087",48,1,75,284,492,701,750,959,1167,1376
189,Jumpluff,"0,2174",50,1,75,292,510,727,750,967,1185,1402
190,Aipom,"0,4478",103,1,75,523,971,1418,750,1198,1646,2093
191,Sunkern,"0,1304",30,1,75,205,336,466,750,880,1011,1141
192,Sunflora,"0,3304",76,1,75,405,736,1066,750,1080,1411,1741
193,Yanma,"0,3043",70,1,75,379,684,988,750,1054,1359,1663
194,Wooper,"0,2957",68,1,75,371,666,962,750,1046,1341,1637
195,Quagsire,"0,3826",88,1,75,458,840,1223,750,1133,1515,1898
196,Espeon,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
197,Umbreon,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
198,Murkrow,"0,4391",101,1,75,514,953,1392,750,1189,1628,2067
199,Slowking,"0,3217",74,1,75,397,718,1040,750,1072,1393,1715
200,Misdreavus,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
201,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
202,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
203,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
204,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
205,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
206,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
207,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
208,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
209,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
210,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
211,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
212,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
213,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
214,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
215,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
216,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
217,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
218,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
219,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
220,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
221,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
222,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
223,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
224,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
225,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
226,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
227,Wobbuffet,"0,2565",59,1,75,332,588,845,750,1007,1263,1520
228,Girafarig,"0,4826",111,1,75,558,1040,1523,750,1233,1715,2198
229,Pineco,"0,5435",125,1,75,618,1162,1705,750,1293,1837,2380
230,Forretress,"0,6",138,1,75,675,1275,1875,750,1350,1950,2550
231,Dunsparce,"0,4391",101,1,75,514,953,1392,750,1189,1628,2067
232,Gligar,"0,4348",100,1,75,510,945,1379,750,1185,1620,2054
233,Steelix,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
234,Snubbull,"0,3304",76,1,75,405,736,1066,750,1080,1411,1741
235,Granbull,"0,3696",85,1,75,445,814,1184,750,1120,1489,1859
236,Qwilfish,"0,3087",71,1,75,384,692,1001,750,1059,1367,1676
237,Scizor,"0,5435",125,1,75,618,1162,1705,750,1293,1837,2380
238,Shuckle,"0,4739",109,1,75,549,1023,1497,750,1224,1698,2172
239,Heracross,"0,4957",114,1,75,571,1066,1562,750,1246,1741,2237
240,Sneasel,"0,2957",68,1,75,371,666,962,750,1046,1341,1637
241,Teddiursa,"0,3522",81,1,75,427,779,1132,750,1102,1454,1807
242,Ursaring,"0,4391",101,1,75,514,953,1392,750,1189,1628,2067
243,Slugma,"0,5174",119,1,75,592,1110,1627,750,1267,1785,2302
244,Magcargo,"0,5609",129,1,75,636,1197,1758,750,1311,1872,2433
245,Swinub,"0,3391",78,1,75,414,753,1092,750,1089,1428,1767
246,Piloswine,"0,5565",128,1,75,632,1188,1745,750,1307,1863,2420
247,Corsola,"0,3826",88,1,75,458,840,1223,750,1133,1515,1898
248,Remoraid,"0,313",72,1,75,388,701,1014,750,1063,1376,1689
249,Octillery,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
250,Delibird,"0,3652",84,1,75,440,805,1171,750,1115,1480,1846
251,Mantine,"0,4478",103,1,75,523,971,1418,750,1198,1646,2093
252,Skarmory,"0,3783",87,1,75,453,832,1210,750,1128,1507,1885
253,Houndour,"0,4",92,1,75,475,875,1275,750,1150,1550,1950
254,Houndoom,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
255,Kingdra,"0,2261",52,1,75,301,527,753,750,976,1202,1428
256,Phanpy,"0,4522",104,1,75,527,979,1432,750,1202,1654,2107
257,Donphan,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
258,Porygon2,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
259,Stantler,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
260,Smeargle,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
261,Tyrogue,"0,313",72,1,75,388,701,1014,750,1063,1376,1689
262,Hitmontop,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
263,Smoochum,"0,3217",74,1,75,397,718,1040,750,1072,1393,1715
264,Elekid,"0,2391",55,1,75,314,553,792,750,989,1228,1467
265,Magby,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
266,Miltank,"0,3826",88,1,75,458,840,1223,750,1133,1515,1898
267,Blissey,"0,2652",61,1,75,340,605,871,750,1015,1280,1546
268,Raikou,"0,6913",159,1,75,766,1458,2149,750,1441,2133,2824
269,Entei,"0,7",161,1,75,775,1475,2175,750,1450,2150,2850
270,Suicune,"0,687",158,1,75,762,1449,2136,750,1437,2124,2811
271,Larvitar,"0,3478",80,1,75,423,771,1118,750,1098,1446,1793
272,Pupitar,"0,4957",114,1,75,571,1066,1562,750,1246,1741,2237
273,Tyranitar,"0,9217",212,1,75,997,1918,2840,750,1672,2593,3515
274,Lugia,"0,6652",153,1,75,740,1405,2071,750,1415,2080,2746
275,HoOh,"0,6391",147,1,75,714,1353,1992,750,1389,2028,2667
276,Celebi,"0,5",115,1,75,575,1075,1575,750,1250,1750,2250
277,Treecko,"0,113",26,1,75,188,301,414,750,863,976,1089
278,Grovyle,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
279,Sceptile,"0,6217",143,1,75,697,1318,1940,750,1372,1993,2615
280,Torchic,"0,113",26,1,75,188,301,414,750,863,976,1089
281,Combusken,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
282,Blaziken,"0,613",141,1,75,688,1301,1914,750,1363,1976,2589
283,Mudkip,"0,1478",34,1,75,223,371,518,750,898,1046,1193
284,Marshtomp,"0,6087",140,1,75,684,1292,1901,750,1359,1967,2576
285,Swampert,"0,6826",157,1,75,758,1440,2123,750,1433,2115,2798
286,Poochyena,"0,2348",54,1,75,310,545,779,750,985,1220,1454
287,Mightyena,"0,5696",131,1,75,645,1214,1784,750,1320,1889,2459
288,Zigzagoon,"0,287",66,1,75,362,649,936,750,1037,1324,1611
289,Linoone,"0,3652",84,1,75,440,805,1171,750,1115,1480,1846
290,Wurmple,"0,1304",30,1,75,205,336,466,750,880,1011,1141
291,Silcoon,"0,3174",73,1,75,392,710,1027,750,1067,1385,1702
292,Beautifly,"0,4391",101,1,75,514,953,1392,750,1189,1628,2067
293,Cascoon,"0,3174",73,1,75,392,710,1027,750,1067,1385,1702
294,Dustox,"0,3957",91,1,75,471,866,1262,750,1146,1541,1937
295,Lotad,"0,3522",81,1,75,427,779,1132,750,1102,1454,1807
296,Lombre,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
297,Ludicolo,"0,4739",109,1,75,549,1023,1497,750,1224,1698,2172
298,Seedot,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
299,Nuzleaf,"0,5435",125,1,75,618,1162,1705,750,1293,1837,2380
300,Shiftry,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
301,Taillow,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
302,Swellow,"0,3783",87,1,75,453,832,1210,750,1128,1507,1885
303,Wingull,"0,3",69,1,75,375,675,975,750,1050,1350,1650
304,Pelipper,"0,3783",87,1,75,453,832,1210,750,1128,1507,1885
305,Ralts,"0,2739",63,1,75,349,623,897,750,1024,1298,1572
306,Kirlia,"0,3391",78,1,75,414,753,1092,750,1089,1428,1767
307,Gardevoir,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
308,Surskit,"0,2174",50,1,75,292,510,727,750,967,1185,1402
309,Masquerain,"0,3696",85,1,75,445,814,1184,750,1120,1489,1859
310,Shroomish,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
311,Breloom,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
312,Slakoth,"0,513",118,1,75,588,1101,1614,750,1263,1776,2289
313,Vigoroth,"0,5435",125,1,75,618,1162,1705,750,1293,1837,2380
314,Slaking,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
315,Nincada,"0,3652",84,1,75,440,805,1171,750,1115,1480,1846
316,Ninjask,"0,4",92,1,75,475,875,1275,750,1150,1550,1950
317,Shedinja,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
318,Whismur,"0,1087",25,1,75,184,292,401,750,859,967,1076
319,Loudred,"0,4478",103,1,75,523,971,1418,750,1198,1646,2093
320,Exploud,"0,5087",117,1,75,584,1092,1601,750,1259,1767,2276
321,Makuhita,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
322,Hariyama,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
323,Azurill,"0,2261",52,1,75,301,527,753,750,976,1202,1428
324,Nosepass,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
325,Skitty,"0,1174",27,1,75,192,310,427,750,867,985,1102
326,Delcatty,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
327,Sableye,"0,2261",52,1,75,301,527,753,750,976,1202,1428
328,Mawile,"0,4391",101,1,75,514,953,1392,750,1189,1628,2067
329,Aron,"0,2826",65,1,75,358,640,923,750,1033,1315,1598
330,Lairon,"0,5",115,1,75,575,1075,1575,750,1250,1750,2250
331,Aggron,"0,6087",140,1,75,684,1292,1901,750,1359,1967,2576
332,Meditite,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
333,Medicham,"0,3478",80,1,75,423,771,1118,750,1098,1446,1793
334,Electrike,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
335,Manectric,"0,5739",132,1,75,649,1223,1797,750,1324,1898,2472
336,Plusle,"0,2348",54,1,75,310,545,779,750,985,1220,1454
337,Minun,"0,2348",54,1,75,310,545,779,750,985,1220,1454
338,Volbeat,"0,4261",98,1,75,501,927,1353,750,1176,1602,2028
339,Illumise,"0,487",112,1,75,562,1049,1536,750,1237,1724,2211
340,Roselia,"0,4391",101,1,75,514,953,1392,750,1189,1628,2067
341,Gulpin,"0,3304",76,1,75,405,736,1066,750,1080,1411,1741
342,Swalot,"0,387",89,1,75,462,849,1236,750,1137,1524,1911
343,Carvanha,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
344,Sharpedo,"0,5043",116,1,75,579,1084,1588,750,1254,1759,2263
345,Wailmer,"0,3478",80,1,75,423,771,1118,750,1098,1446,1793
346,Wailord,"0,5043",116,1,75,579,1084,1588,750,1254,1759,2263
347,Numel,"0,3739",86,1,75,449,823,1197,750,1124,1498,1872
348,Camerupt,"0,4913",113,1,75,566,1058,1549,750,1241,1733,2224
349,Torkoal,"0,3174",73,1,75,392,710,1027,750,1067,1385,1702
350,Spoink,"0,2261",52,1,75,301,527,753,750,976,1202,1428
351,Grumpig,"0,387",89,1,75,462,849,1236,750,1137,1524,1911
352,Spinda,"0,313",72,1,75,388,701,1014,750,1063,1376,1689
353,Trapinch,"0,4435",102,1,75,518,962,1405,750,1193,1637,2080
354,Vibrava,"0,5043",116,1,75,579,1084,1588,750,1254,1759,2263
355,Flygon,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
356,Cacnea,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
357,Cacturne,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
358,Swablu,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
359,Altaria,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
360,Zangoose,"0,3826",88,1,75,458,840,1223,750,1133,1515,1898
361,Seviper,"0,387",89,1,75,462,849,1236,750,1137,1524,1911
362,Lunatone,"0,5391",124,1,75,614,1153,1692,750,1289,1828,2367
363,Solrock,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
364,Barboach,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
365,Whiscash,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
366,Corphish,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
367,Crawdaunt,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
368,Baltoy,"0,287",66,1,75,362,649,936,750,1037,1324,1611
369,Claydol,"0,5739",132,1,75,649,1223,1797,750,1324,1898,2472
370,Lileep,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
371,Cradily,"0,5783",133,1,75,653,1232,1810,750,1328,1907,2485
